 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:cell body:3,201.270,559.690,519.793,29.896,14.000,2727.000,112648.610,403.000,2179432.000,0.000
2,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:nucleus:3,61.146,500.265,279.757,262.805,174.000,1858.000,30589.122,411.000,591813.000,0.000
3,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:cytoplasm:3,140.124,585.621,593.110,29.896,14.000,2727.000,82059.488,389.000,1587619.000,0.000
4,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:dendrite 1:3,9.976,401.612,81.125,329.667,251.011,642.000,4006.325,398.263,77511.052,43.672
5,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:dendrite 1 background:3,9.976,1.196,1.310,0.015,0.000,7.648,11.932,0.859,230.859,43.672
6,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:dendrite 2:3,7.288,212.649,83.881,229.144,77.295,372.910,1549.765,205.776,29983.571,31.878
7,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:dendrite 2 background:3,7.288,1.362,4.089,0.058,0.000,29.906,9.924,0.006,191.993,31.878
8,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:dendrite 3:3,2.378,103.420,25.279,71.787,52.403,140.230,245.891,104.527,4757.301,10.373
9,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:dendrite 3 background:3,2.378,0.316,0.500,0.003,0.000,1.736,0.750,0.000,14.515,10.373
10,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:AIS:3,7.805,48.932,72.327,20.640,3.261,310.091,381.901,21.014,7388.708,34.175
11,SUM_06d70196-90d4-463a-b079-02c54876a22c.tif:AIS background:3,7.805,2.327,11.865,0.197,0.000,100.994,18.159,0.000,351.326,34.175
