 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:cell body:1,500.745,336.870,250.290,104.873,14.000,1207.000,168685.948,266.000,3263596.000,0.000
2,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:nucleus:1,104.356,569.591,204.515,410.582,216.000,1130.000,59440.471,525.000,1150005.000,0.000
3,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:cytoplasm:1,396.389,275.602,223.869,104.873,14.000,1207.000,109245.477,200.000,2113591.000,0.000
4,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:dendrite 1:1,7.701,175.253,54.961,143.927,86.363,347.187,1349.694,159.764,26112.769,33.792
5,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:dendrite 1 background:1,7.701,57.060,29.129,36.656,18.285,167.584,439.443,46.672,8501.986,33.792
6,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:dendrite 2:1,8.218,175.388,58.498,139.984,68.010,400.000,1441.383,166.330,27886.683,35.973
7,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:dendrite 2 background:1,8.218,46.974,21.219,34.948,17.814,123.507,386.041,41.492,7468.797,35.973
8,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:dendrite 3:1,7.701,189.430,48.821,150.473,85.600,314.669,1458.871,189.955,28225.035,33.877
9,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:dendrite 3 background:1,7.701,60.804,33.240,44.397,18.439,200.503,468.276,50.371,9059.821,33.877
10,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:AIS:1,7.443,75.844,23.557,72.739,37.217,147.443,564.503,72.715,10921.546,32.646
11,SUM_307ee6b0-de3e-4383-a543-e71d9493872b.tif:AIS background:1,7.443,45.223,24.078,31.970,15.573,153.202,336.590,38.332,6512.067,32.646
