 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:cell body:3,372.664,2134.502,1268.968,664.131,145.000,5160.000,795452.804,1839.000,15389762.000,0.000
2,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:nucleus:3,86.886,3903.156,582.842,3779.629,2590.000,5160.000,339129.930,3864.000,6561205.000,0.000
3,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:cytoplasm:3,285.778,1596.773,869.641,661.826,145.000,3980.000,456322.874,1518.000,8828557.000,0.000
4,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:dendrite 1:3,5.582,495.484,111.598,384.948,302.322,851.731,2765.895,486.691,53512.240,24.502
5,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:dendrite 1 background:3,5.582,47.267,43.687,19.726,8.735,233.833,263.854,32.272,5104.832,24.502
6,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:dendrite 2:3,7.081,564.588,101.181,593.788,394.756,824.733,3997.924,566.667,77348.521,31.012
7,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:dendrite 2 background:3,7.081,25.854,30.379,1.422,1.060,186.040,183.078,16.832,3542.040,31.012
8,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:dendrite 3:3,6.461,1232.787,175.737,1335.844,788.759,1490.783,7964.904,1290.212,154098.358,28.393
9,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:dendrite 3 background:3,6.461,132.911,99.322,76.522,41.470,479.192,858.723,86.991,16613.867,28.393
10,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:AIS:3,7.236,258.444,83.530,180.055,127.732,527.574,1870.154,236.338,36182.195,31.844
11,SUM_841a8872-6323-4b79-a718-76c182a2b277.tif:AIS background:3,7.236,25.186,38.480,1.739,0.326,241.462,182.248,9.130,3525.977,31.844
