 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:cell body:3,141.933,816.311,453.417,480.121,149.000,2295.000,115861.328,684.000,2241589.000,0.000
2,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:nucleus:3,45.795,755.701,410.727,542.049,273.000,2062.000,34607.177,603.500,669551.000,0.000
3,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:cytoplasm:3,96.138,845.182,469.761,480.121,149.000,2295.000,81254.150,733.500,1572038.000,0.000
4,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:dendrite 1:3,7.856,251.663,78.146,267.071,123.688,474.942,1977.178,253.621,38252.811,34.393
5,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:dendrite 1 background:3,7.856,27.210,24.983,18.099,6.096,218.015,213.770,23.027,4135.846,34.393
6,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:dendrite 2:3,7.650,315.225,116.154,298.920,141.162,706.000,2411.372,299.638,46653.231,33.461
7,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:dendrite 2 background:3,7.650,26.631,40.878,11.748,0.401,215.576,203.719,14.854,3941.390,33.461
8,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:dendrite 3:3,4.083,490.262,173.637,422.405,189.338,760.295,2001.881,475.033,38730.734,17.899
9,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:dendrite 3 background:3,4.083,6.445,5.634,1.968,0.457,31.405,26.316,4.789,509.145,17.899
10,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:AIS:3,6.771,235.813,103.808,137.285,93.955,497.317,1596.695,213.844,30891.529,29.574
11,SUM_09fe5355-1ec8-476e-a608-e0c62bc89743.tif:AIS background:3,6.771,23.234,20.956,5.771,2.231,123.066,157.317,18.769,3043.631,29.574
