 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:cell body:3,188.451,828.044,602.953,409.426,37.000,2883.000,156046.064,595.000,3019050.000,0.000
2,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:nucleus:3,76.239,1008.090,706.511,445.207,233.000,2883.000,76855.316,634.000,1486933.000,0.000
3,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:cytoplasm:3,112.213,705.719,484.359,311.646,37.000,2504.000,79190.748,573.000,1532117.000,0.000
4,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:dendrite 1:3,7.133,608.343,191.962,497.557,384.188,1225.421,4339.203,548.142,83951.310,31.376
5,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:dendrite 1 background:3,7.133,79.550,138.795,10.109,4.244,604.840,567.415,11.975,10977.875,31.376
6,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:dendrite 2:3,5.169,198.342,86.247,164.135,23.479,435.000,1025.174,195.511,19834.209,22.652
7,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:dendrite 2 background:3,5.169,2.433,8.226,0.116,0.000,59.278,12.574,0.519,243.268,22.652
8,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:dendrite 3:3,5.375,159.756,36.906,177.184,55.982,245.754,858.763,164.054,16614.636,23.540
9,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:dendrite 3 background:3,5.375,2.953,4.193,0.995,0.000,20.373,15.874,1.681,307.113,23.540
10,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:AIS:3,6.202,187.094,76.407,108.379,86.188,363.309,1160.441,158.559,22451.260,27.153
11,SUM_70d2a03c-1ad4-45d6-a6bf-d225a376ad7e.tif:AIS background:3,6.202,4.457,5.055,0.049,0.000,25.173,27.644,2.312,534.831,27.153
