 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_GFP-BCAP31-biotin_4_soma.tif:cell body:1,237.554,62.229,38.005,47.000,3.000,232.000,14782.729,57.000,286004.000,0.000
2,MAX_GFP-BCAP31-biotin_4_soma.tif:nucleus:1,66.987,74.598,27.400,63.000,14.000,207.000,4997.061,68.000,96679.000,0.000
3,MAX_GFP-BCAP31-biotin_4_soma.tif:cytoplasm:1,170.568,57.371,40.415,11.000,3.000,232.000,9785.668,48.000,189325.000,0.000
4,MAX_GFP-BCAP31-biotin_4_soma.tif:dendrite 1:1,6.771,23.968,12.615,13.106,8.345,92.408,162.285,20.277,3139.765,29.566
5,MAX_GFP-BCAP31-biotin_4_soma.tif:dendrite 1 background:1,6.771,8.287,6.927,2.358,1.187,41.157,56.114,5.691,1085.650,29.566
6,MAX_GFP-BCAP31-biotin_4_soma.tif:dendrite 2:1,6.202,14.667,5.863,17.226,4.961,34.443,90.968,14.085,1759.980,27.250
7,MAX_GFP-BCAP31-biotin_4_soma.tif:dendrite 2 background:1,6.202,11.770,17.950,4.582,1.603,118.911,73.005,6.582,1412.438,27.250
8,MAX_GFP-BCAP31-biotin_4_soma.tif:dendrite 3:1,7.081,12.152,6.179,6.894,3.840,35.752,86.053,10.664,1664.878,31.008
9,MAX_GFP-BCAP31-biotin_4_soma.tif:dendrite 3 background:1,7.081,11.876,18.260,2.953,1.160,132.290,84.094,6.726,1626.972,31.008
10,MAX_GFP-BCAP31-biotin_4_soma.tif:AIS:1,7.753,16.293,9.071,10.805,2.368,42.000,126.321,13.592,2443.949,34.084
11,MAX_GFP-BCAP31-biotin_4_soma.tif:AIS background:1,7.753,8.460,4.682,8.509,1.514,24.920,65.588,7.191,1268.948,34.084
