 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_Mut2-BCAP31-biotin_8_soma.tif:cell body:1,253.215,29.516,15.332,22.000,5.000,228.000,7473.909,27.000,144599.000,0.000
2,MAX_Mut2-BCAP31-biotin_8_soma.tif:nucleus:1,87.145,26.498,13.045,17.000,8.000,170.000,2309.175,23.000,44676.000,0.000
3,MAX_Mut2-BCAP31-biotin_8_soma.tif:cytoplasm:1,166.071,31.100,16.183,22.000,5.000,228.000,5164.734,29.000,99923.000,0.000
4,MAX_Mut2-BCAP31-biotin_8_soma.tif:dendrite 1:1,7.185,18.321,8.927,12.638,6.982,68.603,131.626,16.514,2546.588,31.535
5,MAX_Mut2-BCAP31-biotin_8_soma.tif:dendrite 1 background:1,7.185,13.870,6.161,11.359,3.120,45.730,99.647,13.000,1927.896,31.535
6,MAX_Mut2-BCAP31-biotin_8_soma.tif:dendrite 2:1,7.546,14.981,4.615,12.984,7.751,37.194,113.054,13.932,2187.281,33.105
7,MAX_Mut2-BCAP31-biotin_8_soma.tif:dendrite 2 background:1,7.546,8.980,3.918,8.225,2.810,23.974,67.766,8.252,1311.077,33.105
8,MAX_Mut2-BCAP31-biotin_8_soma.tif:dendrite 3:1,6.771,14.396,10.359,11.853,6.439,63.018,97.474,11.616,1885.848,29.745
9,MAX_Mut2-BCAP31-biotin_8_soma.tif:dendrite 3 background:1,6.771,9.526,4.511,3.861,2.630,24.358,64.500,8.731,1247.887,29.745
10,MAX_Mut2-BCAP31-biotin_8_soma.tif:AIS:1,8.218,13.684,7.307,8.304,3.923,61.440,112.457,12.264,2175.725,36.107
11,MAX_Mut2-BCAP31-biotin_8_soma.tif:AIS background:1,8.218,12.820,6.636,8.533,5.263,55.990,105.361,11.409,2038.446,36.107
