 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_WT-BCAP31-biotin_1_soma.tif:cell body:1,267.378,23.348,13.363,18.000,2.000,237.000,6242.825,21.000,120781.000,0.000
2,MAX_WT-BCAP31-biotin_1_soma.tif:nucleus:1,99.498,22.816,11.454,18.000,7.000,237.000,2270.151,20.000,43921.000,0.000
3,MAX_WT-BCAP31-biotin_1_soma.tif:cytoplasm:1,167.880,23.664,14.368,20.000,2.000,163.000,3972.674,21.000,76860.000,0.000
4,MAX_WT-BCAP31-biotin_1_soma.tif:dendrite 1:1,7.288,12.622,6.821,6.032,3.295,45.759,91.989,10.493,1779.726,31.882
5,MAX_WT-BCAP31-biotin_1_soma.tif:dendrite 1 background:1,7.288,10.421,17.050,3.481,1.410,97.798,75.950,5.530,1469.426,31.882
6,MAX_WT-BCAP31-biotin_1_soma.tif:dendrite 2:1,5.427,18.748,7.104,22.018,6.326,41.720,101.747,18.660,1968.521,23.787
7,MAX_WT-BCAP31-biotin_1_soma.tif:dendrite 2 background:1,5.427,21.250,11.420,16.776,3.566,70.532,115.325,18.455,2231.220,23.787
8,MAX_WT-BCAP31-biotin_1_soma.tif:dendrite 3:1,5.531,14.505,12.425,9.703,4.698,77.910,80.222,10.549,1552.077,24.137
9,MAX_WT-BCAP31-biotin_1_soma.tif:dendrite 3 background:1,5.531,11.080,8.991,3.871,2.660,50.355,61.279,7.975,1185.571,24.137
10,MAX_WT-BCAP31-biotin_1_soma.tif:AIS:1,7.546,19.223,20.985,9.183,2.390,141.499,145.066,11.881,2806.610,33.171
11,MAX_WT-BCAP31-biotin_1_soma.tif:AIS background:1,7.546,11.462,13.449,1.958,1.416,93.991,86.493,7.987,1673.399,33.171
