 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_GFP-ERGIC53_5_soma.tif:cell body:1,378.505,90.074,46.032,47.000,6.000,249.000,34093.510,85.000,659613.000,0.000
2,MAX_GFP-ERGIC53_5_soma.tif:nucleus:1,92.933,141.421,27.848,117.000,69.000,229.000,13142.748,141.000,254275.000,0.000
3,MAX_GFP-ERGIC53_5_soma.tif:cytoplasm:1,285.571,73.364,37.668,47.000,6.000,249.000,20950.763,66.000,405338.000,0.000
4,MAX_GFP-ERGIC53_5_soma.tif:dendrite 1:1,5.634,35.684,17.206,24.305,11.977,84.528,201.041,32.238,3889.581,24.778
5,MAX_GFP-ERGIC53_5_soma.tif:dendrite 1 background:1,5.634,29.955,22.670,12.238,8.426,138.529,168.765,23.731,3265.135,24.778
6,MAX_GFP-ERGIC53_5_soma.tif:dendrite 2:1,6.771,38.634,13.767,23.826,13.294,81.550,261.589,36.285,5061.015,29.689
7,MAX_GFP-ERGIC53_5_soma.tif:dendrite 2 background:1,6.771,34.890,21.795,11.887,4.188,123.643,236.241,32.122,4570.590,29.689
8,MAX_GFP-ERGIC53_5_soma.tif:dendrite 3:1,5.014,71.286,22.843,62.707,35.684,178.323,357.401,65.414,6914.708,22.027
9,MAX_GFP-ERGIC53_5_soma.tif:dendrite 3 background:1,5.014,26.731,14.671,5.312,4.875,79.413,134.022,24.222,2592.944,22.027
10,MAX_GFP-ERGIC53_5_soma.tif:AIS:1,5.996,31.252,13.117,26.249,12.399,85.501,187.378,27.826,3625.241,26.183
11,MAX_GFP-ERGIC53_5_soma.tif:AIS background:1,5.996,18.188,9.339,12.689,4.236,57.667,109.048,15.592,2109.772,26.183
