 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_Mut2-ERGIC53_2_soma.tif:cell body:1,213.313,44.623,14.301,41.000,7.000,169.000,9518.704,44.000,184160.000,0.000
2,MAX_Mut2-ERGIC53_2_soma.tif:nucleus:1,77.272,44.709,13.286,39.000,19.000,169.000,3454.769,43.000,66840.000,0.000
3,MAX_Mut2-ERGIC53_2_soma.tif:cytoplasm:1,136.557,44.530,14.842,52.000,7.000,113.000,6080.889,44.000,117648.000,0.000
4,MAX_Mut2-ERGIC53_2_soma.tif:dendrite 1:1,5.789,25.621,7.237,19.965,9.631,50.646,148.317,24.408,2869.522,25.380
5,MAX_Mut2-ERGIC53_2_soma.tif:dendrite 1 background:1,5.789,10.018,4.906,6.324,2.460,26.882,57.996,9.581,1122.053,25.380
6,MAX_Mut2-ERGIC53_2_soma.tif:dendrite 2:1,5.582,14.649,5.216,10.224,6.900,29.000,81.773,14.000,1582.069,24.434
7,MAX_Mut2-ERGIC53_2_soma.tif:dendrite 2 background:1,5.582,5.822,5.245,1.607,0.457,24.000,32.500,3.857,628.778,24.434
8,MAX_Mut2-ERGIC53_2_soma.tif:dendrite 3:1,4.187,26.816,12.561,20.683,8.862,91.774,112.270,23.540,2172.100,18.337
9,MAX_Mut2-ERGIC53_2_soma.tif:dendrite 3 background:1,4.187,12.113,9.872,2.553,1.000,54.000,50.713,10.279,981.149,18.337
10,MAX_Mut2-ERGIC53_2_soma.tif:AIS:1,6.202,19.065,7.729,12.287,4.836,50.802,118.252,18.077,2287.851,27.224
11,MAX_Mut2-ERGIC53_2_soma.tif:AIS background:1,6.202,8.878,7.058,2.020,1.040,39.638,55.064,6.857,1065.337,27.224
