 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_WT-ERGIC53_5_soma.tif:cell body:1,443.682,49.670,30.731,21.000,2.000,255.000,22037.536,46.000,426364.000,0.000
2,MAX_WT-ERGIC53_5_soma.tif:nucleus:1,64.867,66.990,24.354,58.000,20.000,247.000,4345.493,64.000,84073.000,0.000
3,MAX_WT-ERGIC53_5_soma.tif:cytoplasm:1,378.815,46.704,30.732,21.000,2.000,255.000,17692.043,40.000,342291.000,0.000
4,MAX_WT-ERGIC53_5_soma.tif:dendrite 1:1,9.200,36.678,8.296,39.484,17.418,62.791,337.447,35.965,6528.636,40.334
5,MAX_WT-ERGIC53_5_soma.tif:dendrite 1 background:1,9.200,8.584,8.543,2.378,1.246,65.619,78.974,6.365,1527.927,40.334
6,MAX_WT-ERGIC53_5_soma.tif:dendrite 2:1,8.683,28.733,8.035,23.731,9.192,57.218,249.500,28.268,4827.122,38.095
7,MAX_WT-ERGIC53_5_soma.tif:dendrite 2 background:1,8.683,7.843,5.828,2.834,1.539,40.548,68.102,6.194,1317.580,38.095
8,MAX_WT-ERGIC53_5_soma.tif:dendrite 3:1,5.841,20.166,13.530,7.167,2.361,72.679,117.781,17.534,2278.727,25.691
9,MAX_WT-ERGIC53_5_soma.tif:dendrite 3 background:1,5.841,7.628,7.818,2.557,1.550,35.920,44.551,4.097,861.936,25.691
10,MAX_WT-ERGIC53_5_soma.tif:AIS:1,8.839,24.454,7.740,19.426,10.332,53.047,216.136,22.890,4181.618,38.849
11,MAX_WT-ERGIC53_5_soma.tif:AIS background:1,8.839,13.531,15.276,2.964,1.966,172.269,119.597,9.993,2313.859,38.849
