 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_GFP-SLC38A1_6_soma.tif:cell body:1,329.557,110.162,52.094,163.000,6.000,242.000,36304.635,119.000,702392.000,0.000
2,MAX_GFP-SLC38A1_6_soma.tif:nucleus:1,66.987,164.355,14.687,166.000,114.000,206.000,11009.568,165.000,213004.000,0.000
3,MAX_GFP-SLC38A1_6_soma.tif:cytoplasm:1,262.571,96.336,49.099,122.000,6.000,242.000,25295.067,96.000,489388.000,0.000
4,MAX_GFP-SLC38A1_6_soma.tif:dendrite 1:1,7.029,64.754,11.969,66.184,34.019,101.791,455.182,65.405,8806.493,30.824
5,MAX_GFP-SLC38A1_6_soma.tif:dendrite 1 background:1,7.029,9.583,7.030,6.336,3.423,41.662,67.360,7.194,1303.228,30.824
6,MAX_GFP-SLC38A1_6_soma.tif:dendrite 2:1,8.580,76.785,13.189,81.373,44.711,116.084,658.821,77.684,12746.325,37.711
7,MAX_GFP-SLC38A1_6_soma.tif:dendrite 2 background:1,8.580,15.253,10.107,6.424,4.714,50.808,130.873,11.927,2532.025,37.711
8,MAX_GFP-SLC38A1_6_soma.tif:dendrite 3:1,4.910,105.270,14.048,87.993,78.143,141.981,516.907,106.531,10000.684,21.492
9,MAX_GFP-SLC38A1_6_soma.tif:dendrite 3 background:1,4.910,15.899,11.046,8.608,5.006,54.855,78.069,11.318,1510.417,21.492
10,MAX_GFP-SLC38A1_6_soma.tif:AIS:1,6.099,38.305,11.560,31.524,15.926,76.888,233.625,37.218,4519.977,26.770
11,MAX_GFP-SLC38A1_6_soma.tif:AIS background:1,6.099,15.804,10.338,6.164,4.371,48.095,96.390,11.870,1864.881,26.770
