 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_Mut2-SLC38A1_4_soma.tif:cell body:1,209.436,83.743,20.045,82.000,10.000,152.000,17538.791,83.000,339326.000,0.000
2,MAX_Mut2-SLC38A1_4_soma.tif:nucleus:1,74.274,82.017,13.208,78.000,51.000,143.000,6091.795,80.000,117859.000,0.000
3,MAX_Mut2-SLC38A1_4_soma.tif:cytoplasm:1,135.162,84.691,22.898,99.000,10.000,152.000,11446.996,87.000,221467.000,0.000
4,MAX_Mut2-SLC38A1_4_soma.tif:dendrite 1:1,6.513,50.638,9.025,46.052,29.798,71.617,329.784,50.818,6380.396,28.622
5,MAX_Mut2-SLC38A1_4_soma.tif:dendrite 1 background:1,6.513,18.572,9.401,7.245,3.450,44.792,120.950,16.584,2340.032,28.622
6,MAX_Mut2-SLC38A1_4_soma.tif:dendrite 2:1,6.564,56.249,10.655,52.675,37.683,90.618,369.231,53.760,7143.584,28.674
7,MAX_Mut2-SLC38A1_4_soma.tif:dendrite 2 background:1,6.564,18.039,7.825,9.322,3.810,36.248,118.412,17.212,2290.946,28.674
8,MAX_Mut2-SLC38A1_4_soma.tif:dendrite 3:1,8.994,44.757,12.904,32.740,13.683,83.879,402.524,45.073,7787.699,39.380
9,MAX_Mut2-SLC38A1_4_soma.tif:dendrite 3 background:1,8.994,19.277,9.603,5.626,4.387,53.208,173.371,18.040,3354.246,39.380
10,MAX_Mut2-SLC38A1_4_soma.tif:AIS:1,5.324,22.493,7.495,23.819,8.406,41.150,119.749,22.175,2316.812,23.241
11,MAX_Mut2-SLC38A1_4_soma.tif:AIS background:1,5.324,17.998,8.641,10.762,4.370,44.778,95.817,18.269,1853.783,23.241
