 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_WT-SLC38A1_2_soma.tif:cell body:1,500.745,47.898,27.033,18.000,3.000,163.000,23984.849,45.000,464039.000,0.000
2,MAX_WT-SLC38A1_2_soma.tif:nucleus:1,104.356,70.467,14.941,63.000,24.000,123.000,7353.685,71.000,142273.000,0.000
3,MAX_WT-SLC38A1_2_soma.tif:cytoplasm:1,396.389,41.957,26.363,18.000,3.000,163.000,16631.165,36.000,321766.000,0.000
4,MAX_WT-SLC38A1_2_soma.tif:dendrite 1:1,7.701,31.760,9.136,28.067,12.910,57.768,244.597,30.677,4732.261,33.792
5,MAX_WT-SLC38A1_2_soma.tif:dendrite 1 background:1,7.701,10.981,4.769,6.471,4.076,25.591,84.572,9.389,1636.236,33.792
6,MAX_WT-SLC38A1_2_soma.tif:dendrite 2:1,8.218,35.547,10.315,37.828,12.761,71.905,292.138,34.870,5652.043,35.973
7,MAX_WT-SLC38A1_2_soma.tif:dendrite 2 background:1,8.218,10.006,4.619,6.028,4.284,27.174,82.234,8.492,1590.994,35.973
8,MAX_WT-SLC38A1_2_soma.tif:dendrite 3:1,7.701,34.359,8.760,35.943,12.420,54.679,264.609,35.002,5119.426,33.877
9,MAX_WT-SLC38A1_2_soma.tif:dendrite 3 background:1,7.701,11.496,5.591,5.547,4.108,33.561,88.537,10.000,1712.946,33.877
10,MAX_WT-SLC38A1_2_soma.tif:AIS:1,7.443,17.264,4.964,14.460,7.517,31.699,128.492,16.948,2485.955,32.646
11,MAX_WT-SLC38A1_2_soma.tif:AIS background:1,7.443,9.627,5.537,6.030,2.754,40.030,71.653,7.897,1386.292,32.646
