 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_GFP-SURF4_5_soma.tif:cell body:1,372.664,15.424,8.444,8.000,1.000,46.000,5747.869,14.000,111205.000,0.000
2,MAX_GFP-SURF4_5_soma.tif:nucleus:1,86.886,22.972,4.848,24.000,11.000,45.000,1995.951,23.000,38616.000,0.000
3,MAX_GFP-SURF4_5_soma.tif:cytoplasm:1,285.778,13.129,7.953,8.000,1.000,46.000,3751.918,11.000,72589.000,0.000
4,MAX_GFP-SURF4_5_soma.tif:dendrite 1:1,5.582,7.289,2.707,5.477,3.168,15.610,40.690,6.635,787.231,24.502
5,MAX_GFP-SURF4_5_soma.tif:dendrite 1 background:1,5.582,2.892,1.635,1.001,0.286,10.171,16.146,2.494,312.381,24.502
6,MAX_GFP-SURF4_5_soma.tif:dendrite 2:1,7.081,10.203,2.695,9.553,5.133,17.920,72.247,9.861,1397.784,31.012
7,MAX_GFP-SURF4_5_soma.tif:dendrite 2 background:1,7.081,1.834,1.704,1.000,0.000,8.395,12.989,1.230,251.310,31.012
8,MAX_GFP-SURF4_5_soma.tif:dendrite 3:1,6.461,13.733,3.144,13.448,7.928,22.423,88.729,13.422,1716.659,28.393
9,MAX_GFP-SURF4_5_soma.tif:dendrite 3 background:1,6.461,5.227,3.988,4.117,1.021,36.242,33.773,4.318,653.408,28.393
10,MAX_GFP-SURF4_5_soma.tif:AIS:1,7.236,6.289,2.256,4.361,1.476,12.418,45.505,6.130,880.398,31.844
11,MAX_GFP-SURF4_5_soma.tif:AIS background:1,7.236,2.013,1.962,1.009,0.000,9.746,14.564,1.140,281.767,31.844
