 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_Mut2-SURF4_5_soma.tif:cell body:1,141.933,15.495,5.906,15.000,2.000,39.000,2199.184,15.000,42548.000,0.000
2,MAX_Mut2-SURF4_5_soma.tif:nucleus:1,45.795,15.292,4.644,11.000,8.000,39.000,700.309,15.000,13549.000,0.000
3,MAX_Mut2-SURF4_5_soma.tif:cytoplasm:1,96.138,15.591,6.419,17.000,2.000,36.000,1498.875,16.000,28999.000,0.000
4,MAX_Mut2-SURF4_5_soma.tif:dendrite 1:1,7.856,4.808,1.385,4.194,2.002,9.337,37.773,4.667,730.807,34.393
5,MAX_Mut2-SURF4_5_soma.tif:dendrite 1 background:1,7.856,4.674,2.523,3.045,1.549,21.183,36.721,4.000,710.448,34.393
6,MAX_Mut2-SURF4_5_soma.tif:dendrite 2:1,7.650,5.324,1.592,5.016,2.787,18.000,40.731,5.022,788.025,33.461
7,MAX_Mut2-SURF4_5_soma.tif:dendrite 2 background:1,7.650,2.988,1.828,1.014,0.082,9.082,22.859,2.890,442.259,33.461
8,MAX_Mut2-SURF4_5_soma.tif:dendrite 3:1,4.083,8.807,2.245,8.370,4.958,18.090,35.961,8.644,695.745,17.899
9,MAX_Mut2-SURF4_5_soma.tif:dendrite 3 background:1,4.083,2.945,2.400,0.996,0.083,9.622,12.024,2.212,232.633,17.899
10,MAX_Mut2-SURF4_5_soma.tif:AIS:1,6.771,11.334,7.896,3.952,1.884,30.504,76.746,9.184,1484.817,29.574
11,MAX_Mut2-SURF4_5_soma.tif:AIS background:1,6.771,8.403,6.069,2.490,1.228,25.166,56.894,7.253,1100.734,29.574
