 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_WT-SURF4_7_soma.tif:cell body:1,262.622,12.114,4.687,8.000,1.000,42.000,3181.395,12.000,61551.000,0.000
2,MAX_WT-SURF4_7_soma.tif:nucleus:1,97.017,11.053,3.953,8.000,3.000,42.000,1072.353,10.000,20747.000,0.000
3,MAX_WT-SURF4_7_soma.tif:cytoplasm:1,165.606,12.735,4.965,15.000,1.000,35.000,2109.042,13.000,40804.000,0.000
4,MAX_WT-SURF4_7_soma.tif:dendrite 1:1,7.495,4.724,1.554,3.385,1.324,9.903,35.408,4.487,685.046,32.965
5,MAX_WT-SURF4_7_soma.tif:dendrite 1 background:1,7.495,0.561,1.124,0.013,0.000,6.430,4.202,0.000,81.306,32.965
6,MAX_WT-SURF4_7_soma.tif:dendrite 2:1,7.805,8.972,2.440,6.963,4.241,16.358,70.026,8.957,1354.803,34.288
7,MAX_WT-SURF4_7_soma.tif:dendrite 2 background:1,7.805,0.574,0.856,0.008,0.000,4.306,4.476,0.073,86.604,34.288
8,MAX_WT-SURF4_7_soma.tif:dendrite 3:1,6.926,3.253,1.532,1.998,1.000,8.000,22.533,2.880,435.951,30.450
9,MAX_WT-SURF4_7_soma.tif:dendrite 3 background:1,6.926,0.566,0.935,0.008,0.000,4.150,3.919,0.035,75.825,30.450
10,MAX_WT-SURF4_7_soma.tif:AIS:1,6.668,2.787,1.513,1.010,0.460,8.986,18.584,2.580,359.555,29.266
11,MAX_WT-SURF4_7_soma.tif:AIS background:1,6.668,0.684,0.945,0.008,0.000,4.000,4.560,0.166,88.226,29.266
