 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:cell body:1,365.376,192.737,165.216,57.154,3.000,1634.000,70421.456,132.000,1362456.000,0.000
2,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:nucleus:1,105.907,375.620,169.212,299.752,49.000,1634.000,39780.802,358.000,769646.000,0.000
3,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:cytoplasm:1,259.469,118.090,86.769,62.490,3.000,784.000,30640.654,92.000,592810.000,0.000
4,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:dendrite 1:1,4.962,41.181,17.946,28.320,11.723,114.107,204.340,35.617,3953.398,21.810
5,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:dendrite 1 background:1,4.962,11.239,4.706,6.354,3.125,33.187,55.768,10.363,1078.951,21.810
6,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:dendrite 2:1,4.393,52.372,16.663,45.038,24.239,120.177,230.090,50.588,4451.587,19.205
7,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:dendrite 2 background:1,4.393,10.263,3.917,6.325,2.259,22.469,45.088,10.054,872.334,19.205
8,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:dendrite 3:1,4.445,66.030,31.708,39.024,23.341,154.972,293.508,57.861,5678.552,19.533
9,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:dendrite 3 background:1,4.445,20.991,8.352,22.680,5.475,40.854,93.305,20.299,1805.185,19.533
10,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:AIS:1,5.789,134.813,43.062,110.979,67.592,264.179,780.427,126.882,15099.054,25.314
11,SUM_e6ba298f-84b5-47b5-9033-fa85514ba846.tif:AIS background:1,5.789,22.774,9.134,22.823,6.921,75.337,131.837,21.979,2550.682,25.314
