 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:cell body:1,471.904,279.369,208.253,97.938,3.000,1571.000,131835.342,225.000,2550641.000,0.000
2,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:nucleus:1,144.310,453.201,208.674,258.520,81.000,1571.000,65401.601,426.000,1265336.000,0.000
3,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:cytoplasm:1,327.593,202.793,155.309,55.582,3.000,1285.000,66433.741,157.000,1285305.000,0.000
4,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:dendrite 1:1,4.910,93.153,49.973,74.489,34.294,437.822,457.407,82.063,8849.533,21.493
5,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:dendrite 1 background:1,4.910,13.294,5.510,10.067,1.327,33.065,65.276,12.841,1262.905,21.493
6,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:dendrite 2:1,4.187,89.643,34.131,53.355,35.075,226.076,375.306,87.390,7261.109,18.289
7,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:dendrite 2 background:1,4.187,11.594,7.550,9.120,2.003,58.061,48.539,9.954,939.096,18.289
8,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:dendrite 3:1,3.050,82.779,31.943,87.703,31.850,147.627,252.438,86.238,4883.966,13.335
9,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:dendrite 3 background:1,3.050,19.927,18.849,6.149,3.674,88.146,60.769,14.286,1175.713,13.335
10,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:AIS:1,4.393,285.230,97.015,166.306,113.675,504.216,1253.132,276.123,24244.563,19.162
11,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:AIS background:1,4.393,92.681,75.233,22.693,11.346,287.994,407.187,61.247,7877.914,19.162
12,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:axon:1,22.019,244.900,82.202,199.218,95.051,502.177,5392.396,223.857,104327.606,96.882
13,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:axon background:1,22.019,15.422,16.433,9.145,2.157,172.521,339.567,11.902,6569.666,96.882
14,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:growth cone:1,10.286,147.342,80.591,51.830,19.000,450.000,1515.519,130.000,29321.000,0.000
15,SUM_d34b8445-901f-46b1-a1f7-30b04386a937.tif:growth cone background:1,10.286,11.447,6.896,5.072,0.000,49.000,117.743,10.000,2278.000,0.000
