 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:cell body:3,365.997,1787.222,997.240,1047.746,137.000,4415.000,654117.314,1469.000,12655320.000,0.000
2,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:nucleus:3,123.584,2987.194,489.748,2759.902,809.000,4415.000,369169.308,2956.000,7142382.000,0.000
3,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:cytoplasm:3,242.413,1175.467,520.353,1041.414,137.000,3517.000,284948.006,1086.000,5512938.000,0.000
4,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:dendrite 1:3,10.027,223.028,137.165,145.635,62.749,894.860,2236.366,182.597,43267.361,44.034
5,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:dendrite 1 background:3,10.027,21.813,29.562,10.307,3.127,219.369,218.724,12.833,4231.683,44.034
6,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:dendrite 2:3,8.580,209.134,86.251,216.509,66.821,588.181,1794.387,211.726,34716.312,37.739
7,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:dendrite 2 background:3,8.580,9.285,4.916,6.325,2.591,32.000,79.663,7.987,1541.252,37.739
8,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:dendrite 3:3,10.079,279.753,101.645,155.125,62.152,491.000,2819.633,263.385,54551.923,44.270
9,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:dendrite 3 background:3,10.079,21.464,33.278,8.009,3.573,328.000,216.335,11.000,4185.472,44.270
10,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:AIS:3,7.495,259.135,134.767,86.284,57.423,566.956,1942.126,245.269,37574.639,32.950
11,SUM_8bd83fa4-5079-49a5-9663-ddfbe920c569.tif:AIS background:3,7.495,11.562,5.374,7.661,3.806,34.174,86.656,9.993,1676.555,32.950
