 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:cell body:1,236.986,96.395,80.809,28.641,0.000,376.000,22844.218,64.000,441971.000,0.000
2,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:nucleus:1,58.096,191.318,73.101,96.410,26.000,376.000,11114.855,192.000,215041.000,0.000
3,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:cytoplasm:1,178.889,65.568,55.131,29.619,0.000,337.000,11729.363,48.000,226930.000,0.000
4,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:dendrite 1:1,6.358,23.248,6.021,16.173,10.945,45.710,147.799,23.074,2859.494,27.884
5,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:dendrite 1 background:1,6.358,4.835,3.124,5.020,0.183,14.666,30.739,4.143,594.704,27.884
6,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:dendrite 2:1,4.704,26.959,8.911,19.051,10.016,53.250,126.803,26.480,2453.273,20.552
7,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:dendrite 2 background:1,4.704,5.168,3.459,2.111,0.000,23.000,24.308,4.720,470.296,20.552
8,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:dendrite 3:1,2.946,36.673,11.470,18.757,11.000,68.557,108.046,37.766,2090.377,12.794
9,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:dendrite 3 background:1,2.946,6.289,4.234,3.843,0.433,21.467,18.529,5.442,358.477,12.794
10,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:AIS:1,5.841,46.396,14.918,41.998,18.454,110.474,270.984,44.925,5242.780,25.701
11,SUM_9256a2ce-c1d3-4656-88e0-5aa2f0edd2d7.tif:AIS background:1,5.841,7.544,5.766,6.119,0.447,35.435,44.059,6.166,852.419,25.701
