 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:cell body:1,199.357,212.782,129.749,62.297,12.000,708.000,42419.637,199.000,820700.000,0.000
2,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:nucleus:1,66.211,327.377,95.157,257.051,102.000,708.000,21676.036,317.000,419370.000,0.000
3,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:cytoplasm:1,133.146,155.796,104.532,62.010,12.000,581.000,20743.600,122.000,401330.000,0.000
4,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:dendrite 1:1,9.769,104.063,38.186,98.699,49.995,234.710,1016.582,95.815,19667.985,42.847
5,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:dendrite 1 background:1,9.769,39.600,34.817,19.553,6.278,189.973,386.847,25.140,7484.396,42.847
6,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:dendrite 2:1,8.787,104.237,29.657,73.029,43.970,175.637,915.915,102.423,17720.365,38.515
7,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:dendrite 2 background:1,8.787,41.291,37.235,28.256,5.115,325.332,362.814,33.146,7019.423,38.515
8,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:dendrite 3:1,8.787,83.089,23.755,72.823,34.802,169.056,730.090,76.967,14125.172,38.477
9,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:dendrite 3 background:1,8.787,36.427,32.255,13.638,0.952,167.487,320.078,25.965,6192.598,38.477
10,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:AIS:1,7.701,27.482,11.768,18.381,9.076,67.895,211.652,26.185,4094.868,33.701
11,SUM_da3f9004-306b-4195-a9f5-7e21c022450a.tif:AIS background:1,7.701,75.650,53.896,23.589,7.507,198.998,582.608,57.202,11271.826,33.701
