 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_DIV3_4_soma.tif:cell body:1,272.856,47.227,27.050,33.000,6.000,240.000,12886.070,41.000,249309.000,0.000
2,MAX_BCAP31-biotin_DIV3_4_soma.tif:nucleus:1,97.947,43.912,26.503,35.000,6.000,240.000,4301.042,38.000,83213.000,0.000
3,MAX_BCAP31-biotin_DIV3_4_soma.tif:cytoplasm:1,174.909,49.083,27.180,31.000,7.000,227.000,8585.027,44.000,166096.000,0.000
4,MAX_BCAP31-biotin_DIV3_4_soma.tif:dendrite 1:1,6.306,31.281,15.071,18.084,12.706,91.380,197.255,27.878,3816.331,27.574
5,MAX_BCAP31-biotin_DIV3_4_soma.tif:dendrite 1 background:1,6.306,3.668,3.708,2.014,0.030,18.498,23.127,2.109,447.449,27.574
6,MAX_BCAP31-biotin_DIV3_4_soma.tif:dendrite 2:1,3.980,29.642,13.233,25.579,9.140,77.568,117.973,28.884,2282.437,17.433
7,MAX_BCAP31-biotin_DIV3_4_soma.tif:dendrite 2 background:1,3.980,3.678,3.123,2.021,0.325,13.690,14.638,2.266,283.199,17.433
8,MAX_BCAP31-biotin_DIV3_4_soma.tif:dendrite 3:1,5.375,36.572,16.791,14.354,10.649,86.530,196.592,34.432,3803.496,23.617
9,MAX_BCAP31-biotin_DIV3_4_soma.tif:dendrite 3 background:1,5.375,8.853,9.670,2.506,1.005,60.125,47.587,6.007,920.682,23.617
10,MAX_BCAP31-biotin_DIV3_4_soma.tif:AIS:1,5.375,87.839,31.294,45.542,45.308,165.139,472.175,81.428,9135.259,23.474
11,MAX_BCAP31-biotin_DIV3_4_soma.tif:AIS background:1,5.375,1.926,1.817,1.990,0.227,13.695,10.352,1.546,200.277,23.474
