 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:cell body:1,256.161,40.343,31.674,15.000,2.000,255.000,10334.430,32.000,199942.000,0.000
2,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:nucleus:1,89.884,51.792,37.800,17.000,3.000,255.000,4655.254,45.000,90066.000,0.000
3,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:cytoplasm:1,166.278,34.155,25.776,13.000,2.000,253.000,5679.176,29.000,109876.000,0.000
4,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:dendrite 1:1,2.739,11.951,6.785,6.236,3.405,28.830,32.739,9.829,633.415,11.904
5,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:dendrite 1 background:1,2.739,2.950,2.252,1.994,0.612,11.843,8.080,2.227,156.328,11.904
6,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:dendrite 2:1,2.584,12.728,8.410,4.114,2.500,33.103,32.894,10.701,636.404,11.209
7,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:dendrite 2 background:1,2.584,2.468,1.994,0.895,0.194,9.399,6.378,1.786,123.397,11.209
8,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:dendrite 3:1,2.843,19.305,10.570,8.936,4.479,63.000,54.879,18.010,1061.760,12.458
9,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:dendrite 3 background:1,2.843,4.369,4.311,2.990,0.387,19.702,12.419,2.896,240.273,12.458
10,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:AIS:1,4.135,43.918,17.468,20.394,16.932,101.347,181.601,42.353,3513.462,18.085
11,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:AIS background:1,4.135,2.951,3.009,1.985,0.355,15.000,12.204,2.059,236.117,18.085
12,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:axon:1,12.922,26.876,14.826,14.736,7.140,97.584,347.280,22.693,6718.877,56.714
13,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:axon background:1,12.922,2.081,2.258,1.411,0.077,15.253,26.893,1.512,520.307,56.714
14,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:growth cone:1,14.111,13.300,8.912,6.000,1.000,39.000,187.676,11.000,3631.000,0.000
15,MAX_BCAP31-biotin_DIV3_5_BOTH.tif:growth cone background:1,14.111,1.425,1.065,1.000,0.000,6.000,20.106,1.000,389.000,0.000
