 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31_DIV3_3_soma.tif:cell body:1,248.150,82.040,46.497,58.000,4.000,252.000,20358.273,76.000,393875.000,0.000
2,MAX_BCAP31_DIV3_3_soma.tif:nucleus:1,100.997,103.634,46.676,66.000,10.000,252.000,10466.646,97.000,202500.000,0.000
3,MAX_BCAP31_DIV3_3_soma.tif:cytoplasm:1,147.153,67.220,40.144,28.000,4.000,252.000,9891.627,62.000,191375.000,0.000
4,MAX_BCAP31_DIV3_3_soma.tif:dendrite 1:1,4.238,26.200,15.864,17.700,4.225,75.351,111.046,21.680,2148.427,18.524
5,MAX_BCAP31_DIV3_3_soma.tif:dendrite 1 background:1,4.238,5.432,1.821,5.898,1.857,12.577,23.025,5.242,445.463,18.524
6,MAX_BCAP31_DIV3_3_soma.tif:dendrite 2:1,4.342,29.586,17.498,45.406,4.105,88.351,128.452,25.922,2485.192,18.974
7,MAX_BCAP31_DIV3_3_soma.tif:dendrite 2 background:1,4.342,7.942,5.970,3.865,1.127,30.956,34.484,5.508,667.159,18.974
8,MAX_BCAP31_DIV3_3_soma.tif:dendrite 3:1,3.360,35.908,22.635,7.484,5.835,99.659,120.640,30.675,2334.047,14.719
9,MAX_BCAP31_DIV3_3_soma.tif:dendrite 3 background:1,3.360,5.407,2.880,3.366,0.134,16.520,18.166,5.106,351.459,14.719
10,MAX_BCAP31_DIV3_3_soma.tif:AIS:1,5.014,75.668,25.433,58.888,30.147,139.150,379.375,70.381,7339.831,21.904
11,MAX_BCAP31_DIV3_3_soma.tif:AIS background:1,5.014,5.302,2.408,5.562,1.134,16.986,26.581,4.843,514.274,21.903
