 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_BCAP31_DIV3_6_BOTH.tif:cell body:1,471.904,56.915,40.857,19.000,1.000,255.000,26858.293,47.000,519632.000,0.000
2,MAX_BCAP31_DIV3_6_BOTH.tif:nucleus:1,144.310,84.959,40.221,67.000,10.000,253.000,12260.448,78.000,237205.000,0.000
3,MAX_BCAP31_DIV3_6_BOTH.tif:cytoplasm:1,327.593,44.561,34.541,14.000,1.000,255.000,14597.844,34.000,282427.000,0.000
4,MAX_BCAP31_DIV3_6_BOTH.tif:dendrite 1:1,4.910,26.441,14.342,19.555,10.097,122.722,129.833,23.404,2511.902,21.493
5,MAX_BCAP31_DIV3_6_BOTH.tif:dendrite 1 background:1,4.910,5.159,1.707,3.775,0.413,11.104,25.330,5.195,490.062,21.493
6,MAX_BCAP31_DIV3_6_BOTH.tif:dendrite 2:1,4.187,27.499,12.693,26.992,9.100,68.976,115.131,25.348,2227.454,18.289
7,MAX_BCAP31_DIV3_6_BOTH.tif:dendrite 2 background:1,4.187,5.129,2.871,3.483,0.381,24.814,21.475,4.778,415.478,18.289
8,MAX_BCAP31_DIV3_6_BOTH.tif:dendrite 3:1,3.050,24.164,10.081,12.098,8.960,48.148,73.688,25.396,1425.654,13.335
9,MAX_BCAP31_DIV3_6_BOTH.tif:dendrite 3 background:1,3.050,7.231,5.248,3.477,2.054,27.183,22.051,5.693,426.622,13.335
10,MAX_BCAP31_DIV3_6_BOTH.tif:AIS:1,4.393,74.636,28.074,48.159,26.474,148.484,327.908,71.446,6344.099,19.162
11,MAX_BCAP31_DIV3_6_BOTH.tif:AIS background:1,4.393,21.980,18.788,10.983,2.997,80.149,96.568,13.012,1868.312,19.162
12,MAX_BCAP31_DIV3_6_BOTH.tif:axon:1,22.019,63.690,24.453,48.347,18.974,147.512,1402.375,59.535,27131.983,96.882
13,MAX_BCAP31_DIV3_6_BOTH.tif:axon background:1,22.019,5.646,4.794,4.002,0.906,52.042,124.308,4.762,2404.999,96.882
14,MAX_BCAP31_DIV3_6_BOTH.tif:growth cone:1,10.286,32.854,19.929,32.000,3.000,111.000,337.931,28.000,6538.000,0.000
15,MAX_BCAP31_DIV3_6_BOTH.tif:growth cone background:1,10.286,4.106,2.048,4.000,0.000,17.000,42.228,4.000,817.000,0.000
