 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_ERGIC53_DIV3_5_soma.tif:cell body:1,249.029,21.677,15.826,7.000,1.000,170.000,5398.153,18.000,104439.000,0.000
2,MAX_ERGIC53_DIV3_5_soma.tif:nucleus:1,75.567,36.830,13.348,30.000,12.000,154.000,2783.094,35.000,53845.000,0.000
3,MAX_ERGIC53_DIV3_5_soma.tif:cytoplasm:1,173.462,15.076,11.763,7.000,1.000,170.000,2615.059,12.000,50594.000,0.000
4,MAX_ERGIC53_DIV3_5_soma.tif:dendrite 1:1,5.324,5.724,2.282,4.855,2.000,17.067,30.474,5.302,589.579,23.427
5,MAX_ERGIC53_DIV3_5_soma.tif:dendrite 1 background:1,5.324,2.054,0.683,1.627,1.000,4.454,10.933,1.979,211.515,23.427
6,MAX_ERGIC53_DIV3_5_soma.tif:dendrite 2:1,2.791,5.704,3.403,4.136,2.128,22.292,15.920,5.036,308.000,12.173
7,MAX_ERGIC53_DIV3_5_soma.tif:dendrite 2 background:1,2.791,2.295,1.762,1.021,1.000,11.826,6.407,1.929,123.955,12.173
8,MAX_ERGIC53_DIV3_5_soma.tif:dendrite 3:1,5.892,8.423,5.048,5.964,3.117,50.126,49.631,7.431,960.216,25.779
9,MAX_ERGIC53_DIV3_5_soma.tif:dendrite 3 background:1,5.892,2.024,0.827,1.009,1.000,5.721,11.926,1.928,230.735,25.779
10,MAX_ERGIC53_DIV3_5_soma.tif:AIS:1,7.701,9.815,3.868,5.015,3.518,19.832,75.586,9.348,1462.368,33.752
11,MAX_ERGIC53_DIV3_5_soma.tif:AIS background:1,7.701,2.241,2.578,1.047,1.000,25.003,17.256,1.810,333.860,33.752
