 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SLC38A1_DIV15_3_soma.tif:cell body:1,412.774,71.530,33.908,28.000,6.000,162.000,29525.659,71.000,571238.000,0.000
2,MAX_SLC38A1_DIV15_3_soma.tif:nucleus:1,95.156,111.236,19.047,122.000,47.000,162.000,10584.803,113.000,204786.000,0.000
3,MAX_SLC38A1_DIV15_3_soma.tif:cytoplasm:1,317.617,59.634,27.779,28.000,6.000,143.000,18940.856,57.000,366452.000,0.000
4,MAX_SLC38A1_DIV15_3_soma.tif:dendrite 1:1,6.461,43.689,8.919,43.374,23.295,66.309,282.271,44.054,5461.152,28.308
5,MAX_SLC38A1_DIV15_3_soma.tif:dendrite 1 background:1,6.461,38.104,10.440,40.378,19.062,86.850,246.187,37.796,4763.022,28.308
6,MAX_SLC38A1_DIV15_3_soma.tif:dendrite 2:1,7.081,24.207,8.627,18.061,9.283,48.362,171.414,23.639,3316.379,31.195
7,MAX_SLC38A1_DIV15_3_soma.tif:dendrite 2 background:1,7.081,9.963,3.812,6.737,2.674,23.684,70.549,8.986,1364.931,31.195
8,MAX_SLC38A1_DIV15_3_soma.tif:dendrite 3:1,6.823,25.805,6.716,23.660,10.000,52.906,176.062,24.668,3406.295,29.810
9,MAX_SLC38A1_DIV15_3_soma.tif:dendrite 3 background:1,6.823,13.680,4.868,9.644,5.577,27.048,93.337,12.505,1805.807,29.810
10,MAX_SLC38A1_DIV15_3_soma.tif:AIS:1,8.735,25.762,9.296,25.447,10.642,57.145,225.032,25.176,4353.731,38.220
11,MAX_SLC38A1_DIV15_3_soma.tif:AIS background:1,8.735,18.527,10.767,10.249,4.624,46.357,161.834,15.523,3131.027,38.220
