 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SLC38A1_DIV3_2_BOTH.tif:cell body:1,317.256,27.956,19.294,12.000,2.000,97.000,8869.203,22.000,171594.000,0.000
2,MAX_SLC38A1_DIV3_2_BOTH.tif:nucleus:1,63.627,49.106,15.146,47.000,16.000,95.000,3124.488,49.000,60450.000,0.000
3,MAX_SLC38A1_DIV3_2_BOTH.tif:cytoplasm:1,253.629,22.650,16.363,12.000,2.000,97.000,5744.716,17.000,111144.000,0.000
4,MAX_SLC38A1_DIV3_2_BOTH.tif:dendrite 1:1,3.928,8.675,2.932,7.923,3.548,16.804,34.078,7.995,659.317,17.167
5,MAX_SLC38A1_DIV3_2_BOTH.tif:dendrite 1 background:1,3.928,4.202,1.400,3.652,1.627,8.068,16.507,3.957,319.370,17.167
6,MAX_SLC38A1_DIV3_2_BOTH.tif:dendrite 2:1,3.566,10.895,4.095,8.814,4.968,22.088,38.857,9.897,751.774,15.536
7,MAX_SLC38A1_DIV3_2_BOTH.tif:dendrite 2 background:1,3.566,4.311,1.533,4.015,1.635,12.049,15.375,4.000,297.455,15.513
8,MAX_SLC38A1_DIV3_2_BOTH.tif:dendrite 3:1,2.843,9.394,3.636,5.809,4.084,22.873,26.704,8.616,516.654,12.479
9,MAX_SLC38A1_DIV3_2_BOTH.tif:dendrite 3 background:1,2.843,4.647,1.123,4.995,2.020,6.949,13.210,4.901,255.579,12.479
10,MAX_SLC38A1_DIV3_2_BOTH.tif:AIS:1,4.032,16.850,4.497,11.584,8.506,30.092,67.931,15.973,1314.282,17.728
11,MAX_SLC38A1_DIV3_2_BOTH.tif:AIS background:1,4.032,5.230,2.057,5.137,1.744,12.148,21.085,5.048,407.934,17.728
12,MAX_SLC38A1_DIV3_2_BOTH.tif:axon:1,24.448,13.825,5.696,15.022,2.203,37.302,338.001,13.774,6539.368,107.582
13,MAX_SLC38A1_DIV3_2_BOTH.tif:axon background:1,24.448,5.180,1.883,4.487,1.072,15.287,126.641,4.944,2450.151,107.582
14,MAX_SLC38A1_DIV3_2_BOTH.tif:growth cone:1,10.492,10.232,4.768,7.000,2.000,27.000,107.354,10.000,2077.000,0.000
15,MAX_SLC38A1_DIV3_2_BOTH.tif:growth cone background:1,10.492,3.882,1.612,4.000,0.000,12.000,40.729,4.000,788.000,0.000
