 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_DIV15_5_soma.tif:cell body:1,393.494,11.908,5.162,9.000,1.000,53.000,4685.594,11.000,90653.000,0.000
2,MAX_SURF4_DIV15_5_soma.tif:nucleus:1,103.788,10.910,4.019,9.000,4.000,53.000,1132.362,10.000,21908.000,0.000
3,MAX_SURF4_DIV15_5_soma.tif:cytoplasm:1,289.706,12.265,5.470,9.000,1.000,42.000,3553.233,11.000,68745.000,0.000
4,MAX_SURF4_DIV15_5_soma.tif:dendrite 1:1,8.890,6.562,2.561,5.906,2.000,18.000,58.336,5.913,1128.632,38.958
5,MAX_SURF4_DIV15_5_soma.tif:dendrite 1 background:1,8.890,3.004,2.318,0.973,0.000,14.240,26.704,2.831,516.648,38.958
6,MAX_SURF4_DIV15_5_soma.tif:dendrite 2:1,7.960,7.295,2.408,7.072,2.673,16.000,58.071,7.159,1123.501,34.944
7,MAX_SURF4_DIV15_5_soma.tif:dendrite 2 background:1,7.960,2.211,2.215,1.011,0.000,12.040,17.602,1.385,340.555,34.944
8,MAX_SURF4_DIV15_5_soma.tif:dendrite 3:1,8.115,4.920,2.819,4.979,1.000,16.091,39.924,4.380,772.422,35.678
9,MAX_SURF4_DIV15_5_soma.tif:dendrite 3 background:1,8.115,4.428,3.547,1.032,0.512,21.000,35.936,3.130,695.259,35.678
10,MAX_SURF4_DIV15_5_soma.tif:AIS:1,8.063,3.233,1.598,3.015,1.000,13.136,26.071,3.006,504.396,35.363
11,MAX_SURF4_DIV15_5_soma.tif:AIS background:1,8.063,2.069,1.636,0.993,0.000,9.595,16.683,1.921,322.771,35.363
