 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_CNC113_DIV3_5_BOTH.tif:cell body:1,485.807,18.597,13.330,9.000,3.000,79.000,0.000,0.000,9034.602,13.000,174794.000,0,0.000
2,MAX_CNC113_DIV3_5_BOTH.tif:nucleus:1,91.538,40.565,12.548,39.000,9.000,79.000,0.000,0.000,3713.256,41.000,71841.000,0,0.000
3,MAX_CNC113_DIV3_5_BOTH.tif:cytoplasm:1,394.270,13.497,6.657,9.000,3.000,54.000,0.000,0.000,5321.346,11.000,102953.000,0,0.000
4,MAX_CNC113_DIV3_5_BOTH.tif:dendrite 1:1,3.618,12.741,3.730,11.175,7.926,22.646,0.000,0.000,46.098,11.656,891.865,0,15.885
5,MAX_CNC113_DIV3_5_BOTH.tif:dendrite 1 background:1,3.618,7.703,1.546,6.997,4.762,12.442,0.000,0.000,27.870,7.761,539.212,0,15.885
6,MAX_CNC113_DIV3_5_BOTH.tif:dendrite 2:1,2.894,13.769,2.945,12.228,9.595,23.214,0.000,0.000,39.855,13.567,771.079,0,12.567
7,MAX_CNC113_DIV3_5_BOTH.tif:dendrite 2 background:1,2.894,7.447,1.405,7.358,4.097,11.262,0.000,0.000,21.555,7.353,417.030,0,12.567
8,MAX_CNC113_DIV3_5_BOTH.tif:dendrite 3:1,0.000,8.000,0.000,8.000,8.000,8.000,75.214,43.916,0.413,8.000,8.000,1,0.000
9,MAX_CNC113_DIV3_5_BOTH.tif:dendrite 3 background:1,0.000,8.000,0.000,8.000,8.000,8.000,77.488,46.190,0.413,8.000,8.000,1,0.000
10,MAX_CNC113_DIV3_5_BOTH.tif:AIS:1,6.874,14.390,3.488,12.392,8.233,28.905,0.000,0.000,98.919,14.070,1913.806,0,30.197
11,MAX_CNC113_DIV3_5_BOTH.tif:AIS background:1,6.874,7.554,1.643,7.958,4.184,13.894,0.000,0.000,51.931,7.517,1004.719,0,30.197
12,MAX_CNC113_DIV3_5_BOTH.tif:axon:1,26.412,14.368,3.471,13.099,7.160,32.714,0.000,0.000,379.492,13.924,7342.099,0,116.186
13,MAX_CNC113_DIV3_5_BOTH.tif:axon background:1,26.412,7.103,1.374,6.979,3.950,12.914,0.000,0.000,187.618,7.000,3629.879,0,116.186
14,MAX_CNC113_DIV3_5_BOTH.tif:growth cone:1,21.140,10.743,4.265,9.000,4.000,31.000,0.000,0.000,227.113,9.000,4394.000,0,0.000
15,MAX_CNC113_DIV3_5_BOTH.tif:growth cone background:1,21.140,7.638,2.669,9.000,3.000,32.000,0.000,0.000,161.471,7.000,3124.000,0,0.000
