 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_CNC116_DIV3_4_BOTH.tif:cell body:1,194.912,36.099,23.168,9.000,4.000,120.000,7036.119,32.000,136129.000,0.000
2,MAX_CNC116_DIV3_4_BOTH.tif:nucleus:1,61.249,58.636,17.133,52.000,24.000,120.000,3591.429,55.000,69484.000,0.000
3,MAX_CNC116_DIV3_4_BOTH.tif:cytoplasm:1,133.663,25.771,17.574,9.000,4.000,102.000,3444.690,21.000,66645.000,0.000
4,MAX_CNC116_DIV3_4_BOTH.tif:dendrite 1:1,4.342,11.222,2.705,9.270,6.962,18.900,48.723,10.274,942.660,18.994
5,MAX_CNC116_DIV3_4_BOTH.tif:dendrite 1 background:1,4.342,6.875,1.379,5.428,4.147,13.385,29.848,6.723,577.482,18.994
6,MAX_CNC116_DIV3_4_BOTH.tif:dendrite 2:1,3.773,13.066,2.817,8.441,7.597,19.951,49.302,12.629,953.846,16.473
7,MAX_CNC116_DIV3_4_BOTH.tif:dendrite 2 background:1,3.773,6.884,1.293,6.401,4.534,11.218,25.974,6.838,502.514,16.473
8,MAX_CNC116_DIV3_4_BOTH.tif:dendrite 3:1,2.429,18.847,3.949,17.173,10.075,26.821,45.784,18.491,885.790,10.601
9,MAX_CNC116_DIV3_4_BOTH.tif:dendrite 3 background:1,2.429,7.487,1.577,6.111,3.000,10.408,18.188,7.182,351.879,10.601
10,MAX_CNC116_DIV3_4_BOTH.tif:AIS:1,3.153,39.519,10.284,38.987,23.418,67.950,124.601,38.957,2410.676,13.699
11,MAX_CNC116_DIV3_4_BOTH.tif:AIS background:1,3.153,7.416,1.438,5.189,4.018,11.418,23.381,7.544,452.349,13.699
12,MAX_CNC116_DIV3_4_BOTH.tif:axon:1,10.234,27.406,11.979,19.174,13.422,73.528,280.474,22.980,5426.373,45.004
13,MAX_CNC116_DIV3_4_BOTH.tif:axon background:1,10.234,7.417,2.229,6.986,3.424,21.481,75.910,7.156,1468.637,45.004
14,MAX_CNC116_DIV3_4_BOTH.tif:growth cone:1,398.921,10.694,4.220,9.000,3.000,41.000,4266.153,9.000,82538.000,0.000
15,MAX_CNC116_DIV3_4_BOTH.tif:growth cone background:1,398.766,7.286,2.361,9.000,3.000,33.000,2905.386,7.000,56211.000,0.000
