 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_CNC68_DIV15_1_soma.tif:cell body:1,217.034,122.770,54.591,102.000,16.000,250.000,26645.238,119.000,515510.000,0.000
2,MAX_CNC68_DIV15_1_soma.tif:nucleus:1,139.349,134.632,57.596,160.000,19.000,250.000,18760.830,135.000,362969.000,0.000
3,MAX_CNC68_DIV15_1_soma.tif:cytoplasm:1,103.219,91.852,40.369,63.000,16.000,200.000,9480.869,93.000,183428.000,0.000
4,MAX_CNC68_DIV15_1_soma.tif:dendrite 1:1,8.373,73.691,16.090,59.036,41.559,123.654,617.034,71.272,11937.867,36.727
5,MAX_CNC68_DIV15_1_soma.tif:dendrite 1 background:1,8.373,30.514,14.451,13.939,12.684,84.048,255.502,27.142,4943.242,36.727
6,MAX_CNC68_DIV15_1_soma.tif:dendrite 2:1,7.133,91.465,16.208,92.376,50.646,132.508,652.402,92.066,12622.143,31.307
7,MAX_CNC68_DIV15_1_soma.tif:dendrite 2 background:1,7.133,32.786,13.515,29.163,13.520,85.675,233.855,29.182,4524.427,31.307
8,MAX_CNC68_DIV15_1_soma.tif:dendrite 3:1,6.461,98.871,12.438,87.398,68.733,129.604,638.792,99.027,12358.822,28.356
9,MAX_CNC68_DIV15_1_soma.tif:dendrite 3 background:1,6.461,30.912,14.494,30.522,10.120,75.000,199.719,28.046,3863.989,28.356
10,MAX_CNC68_DIV15_1_soma.tif:AIS:1,6.202,60.637,16.395,49.993,32.508,106.496,376.097,57.026,7276.414,27.068
11,MAX_CNC68_DIV15_1_soma.tif:AIS background:1,6.202,61.397,32.548,31.194,18.000,125.224,380.812,49.343,7367.631,27.068
