 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_CNC68_DIV15_1_soma_001.tif:cell body:1,214.553,123.061,54.767,102.000,12.000,250.000,26403.084,119.000,510825.000,0.000
2,MAX_CNC68_DIV15_1_soma_001.tif:nucleus:1,135.782,138.073,55.700,160.000,26.000,250.000,18747.805,140.000,362717.000,0.000
3,MAX_CNC68_DIV15_1_soma_001.tif:cytoplasm:1,100.790,90.473,40.017,63.000,12.000,188.000,9118.749,90.000,176422.000,0.000
4,MAX_CNC68_DIV15_1_soma_001.tif:dendrite 1:1,7.288,91.400,15.952,83.208,51.070,120.497,666.113,90.636,12887.403,31.920
5,MAX_CNC68_DIV15_1_soma_001.tif:dendrite 1 background:1,7.288,34.264,14.054,24.560,12.782,79.050,249.712,30.754,4831.231,31.920
6,MAX_CNC68_DIV15_1_soma_001.tif:dendrite 2:1,7.960,102.177,17.592,103.524,60.717,164.589,813.310,101.623,15735.253,34.847
7,MAX_CNC68_DIV15_1_soma_001.tif:dendrite 2 background:1,7.960,31.520,15.142,13.439,11.794,67.955,250.894,26.751,4854.081,34.847
8,MAX_CNC68_DIV15_1_soma_001.tif:dendrite 3:1,6.358,53.247,11.114,41.795,31.964,89.819,338.522,52.330,6549.439,27.845
9,MAX_CNC68_DIV15_1_soma_001.tif:dendrite 3 background:1,6.358,34.660,14.637,21.697,11.221,82.740,220.353,33.260,4263.200,27.845
10,MAX_CNC68_DIV15_1_soma_001.tif:AIS:1,7.805,60.148,15.668,50.421,29.293,99.084,469.442,58.719,9082.379,34.320
11,MAX_CNC68_DIV15_1_soma_001.tif:AIS background:1,7.805,56.844,29.948,38.613,15.065,125.678,443.653,44.336,8583.437,34.320
