 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_i3-10_SLC38A1_6_BOTH.tif:cell body:1,74.326,85.986,39.818,67.000,12.000,214.000,0.000,0.000,6391.012,78.000,123648.000,0,0.000
2,MAX_i3-10_SLC38A1_6_BOTH.tif:nucleus:1,41.298,85.005,26.271,70.000,42.000,192.000,0.000,0.000,3510.539,78.000,67919.000,0,0.000
3,MAX_i3-10_SLC38A1_6_BOTH.tif:cytoplasm:1,33.028,87.213,52.010,30.000,12.000,214.000,0.000,0.000,2880.473,77.000,55729.000,0,0.000
4,MAX_i3-10_SLC38A1_6_BOTH.tif:dendrite 1:1,4.445,69.531,16.456,69.737,44.518,112.122,0.000,0.000,309.073,66.295,5979.694,0,19.405
5,MAX_i3-10_SLC38A1_6_BOTH.tif:dendrite 1 background:1,4.445,7.970,1.472,8.448,4.234,11.805,0.000,0.000,35.426,7.928,685.394,0,19.405
6,MAX_i3-10_SLC38A1_6_BOTH.tif:dendrite 2:1,0.000,11.000,0.000,11.000,11.000,11.000,27.774,48.539,0.569,11.000,11.000,1,0.000
7,MAX_i3-10_SLC38A1_6_BOTH.tif:dendrite 2 background:1,0.000,7.000,0.000,7.000,7.000,7.000,30.048,50.812,0.362,7.000,7.000,1,0.000
8,MAX_i3-10_SLC38A1_6_BOTH.tif:dendrite 3:1,0.000,11.000,0.000,11.000,11.000,11.000,27.774,48.539,0.569,11.000,11.000,1,0.000
9,MAX_i3-10_SLC38A1_6_BOTH.tif:dendrite 3 background:1,0.000,7.000,0.000,7.000,7.000,7.000,30.048,50.812,0.362,7.000,7.000,1,0.000
10,MAX_i3-10_SLC38A1_6_BOTH.tif:AIS:1,3.618,57.093,12.197,60.914,35.531,102.177,0.000,0.000,206.568,56.879,3996.516,0,15.708
11,MAX_i3-10_SLC38A1_6_BOTH.tif:AIS background:1,3.618,7.793,1.802,4.571,4.194,12.591,0.000,0.000,28.198,7.832,545.542,0,15.708
12,MAX_i3-10_SLC38A1_6_BOTH.tif:axon:1,6.616,55.175,12.077,48.409,30.448,94.758,0.000,0.000,365.037,55.022,7062.429,0,28.903
13,MAX_i3-10_SLC38A1_6_BOTH.tif:axon background:1,6.616,7.923,1.571,7.201,4.437,15.582,0.000,0.000,52.418,7.784,1014.133,0,28.903
14,MAX_i3-10_SLC38A1_6_BOTH.tif:growth cone:1,76.755,19.530,13.858,9.000,4.000,141.000,0.000,0.000,1499.030,16.000,29002.000,0,0.000
15,MAX_i3-10_SLC38A1_6_BOTH.tif:growth cone background:1,76.755,7.434,2.222,9.000,3.000,22.000,0.000,0.000,570.574,7.000,11039.000,0,0.000
