 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:cell body:1,210.418,301.638,132.490,159.959,118.000,811.000,0.000,0.000,63470.207,268.000,1227969.000,0,0.000
2,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:nucleus:1,73.964,422.396,127.743,455.908,164.000,811.000,0.000,0.000,31242.189,412.000,604448.000,0,0.000
3,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:cytoplasm:1,136.454,236.182,77.694,160.715,118.000,604.000,0.000,0.000,32228.018,217.000,623521.000,0,0.000
4,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:dendrite 1:1,2.998,173.872,25.737,174.453,131.981,263.774,0.000,0.000,521.244,168.178,10084.602,0,13.020
5,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:dendrite 1 background:1,2.998,122.493,4.776,126.740,113.401,138.601,0.000,0.000,367.215,122.155,7104.575,0,13.020
6,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:dendrite 2:1,0.827,166.872,12.944,175.819,138.636,183.643,0.000,0.000,138.003,168.545,2669.958,0,3.520
7,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:dendrite 2 background:1,0.827,123.837,5.354,115.953,115.914,135.557,0.000,0.000,102.413,123.390,1981.392,0,3.520
8,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:dendrite 3:1,0.000,118.000,0.000,118.000,118.000,118.000,67.181,70.478,6.099,118.000,118.000,1,0.000
9,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:dendrite 3 background:1,0.000,127.000,0.000,127.000,127.000,127.000,69.455,72.751,6.564,127.000,127.000,1,0.000
10,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:AIS:1,4.807,161.160,22.907,149.151,128.874,263.703,0.000,0.000,774.679,156.015,14987.852,0,20.954
11,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:AIS background:1,4.807,122.935,3.815,118.878,114.163,131.784,0.000,0.000,590.936,123.086,11432.947,0,20.954
12,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:axon:1,16.126,151.390,15.235,147.709,124.292,262.103,0.000,0.000,2441.381,148.836,47233.826,0,70.735
13,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:axon background:1,16.126,122.584,4.521,121.555,113.569,138.052,0.000,0.000,1976.840,122.076,38246.271,0,70.735
14,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:growth cone:1,72.517,136.561,13.037,128.162,111.000,212.000,0.000,0.000,9902.998,135.000,191595.000,0,0.000
15,SUM_ed829eb1-952b-4efc-a8a6-b9b60a9c7505.tif:growth cone background:1,72.517,121.434,6.117,119.955,111.000,146.000,0.000,0.000,8806.042,121.000,170372.000,0,0.000
