 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:cell body:1,419.183,247.931,123.817,157.557,115.000,922.000,103928.576,197.000,2010724.000,0.000
2,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:nucleus:1,83.216,339.190,95.464,368.947,148.000,773.000,28226.141,342.000,546096.000,0.000
3,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:cytoplasm:1,335.966,225.327,119.574,157.557,115.000,922.000,75702.434,180.000,1464628.000,0.000
4,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:dendrite 1:1,3.101,152.853,10.262,144.395,133.356,175.223,474.032,153.062,9171.178,13.579
5,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:dendrite 1 background:1,3.101,123.412,4.356,118.152,116.344,136.040,382.730,122.989,7404.741,13.579
6,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:dendrite 2:1,2.791,138.091,9.876,140.819,120.000,179.549,385.428,137.022,7456.940,12.117
7,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:dendrite 2 background:1,2.791,122.106,3.583,118.205,115.018,131.500,340.810,121.988,6593.706,12.117
8,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:dendrite 3:1,2.378,146.886,11.657,133.843,131.781,187.343,349.237,144.960,6756.750,10.433
9,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:dendrite 3 background:1,2.378,123.914,4.276,121.036,117.348,135.333,294.620,123.338,5700.061,10.433
10,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:AIS:1,5.427,207.183,32.114,163.821,152.838,283.604,1124.414,209.577,21754.240,23.693
11,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:AIS background:1,5.427,122.364,4.318,117.330,114.976,137.720,664.089,121.880,12848.248,23.693
12,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:axon:1,12.302,200.923,27.847,164.596,152.670,282.587,2471.657,199.416,47819.582,54.026
13,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:axon background:1,12.302,122.380,3.536,121.070,115.692,136.088,1505.460,122.085,29126.399,54.026
14,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:growth cone:1,169.586,151.944,20.083,148.242,115.000,263.000,25767.539,149.000,498529.000,0.000
15,SUM_e946e8d8-6a34-4d48-92fe-189d13923172.tif:growth cone background:1,169.586,122.842,6.095,120.902,114.000,176.000,20832.296,122.000,403046.000,0.000
