 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:cell body:3,214.553,4208.282,1596.342,3939.102,560.000,7860.000,902900.861,3989.000,17468578.000,0.000
2,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:nucleus:3,135.782,4305.474,2214.045,275.701,231.000,7860.000,584606.430,4885.000,11310481.000,0.000
3,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:cytoplasm:3,100.790,3279.232,943.760,3945.432,560.000,5283.000,330513.581,3348.000,6394503.000,0.000
4,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:dendrite 1:3,7.288,2793.367,183.230,2536.614,2464.000,3222.746,20357.744,2774.120,393864.778,31.920
5,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:dendrite 1 background:3,7.288,262.571,64.572,245.768,221.633,872.000,1913.590,246.956,37022.550,31.920
6,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:dendrite 2:3,7.960,2784.677,284.881,2412.219,2320.005,3418.000,22165.527,2757.659,428840.258,34.847
7,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:dendrite 2 background:3,7.960,315.228,257.494,234.684,219.493,1775.084,2509.162,244.726,48545.179,34.847
8,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:dendrite 3:3,6.358,1664.145,160.767,1501.077,1285.760,2228.000,10579.833,1671.234,204689.840,27.845
9,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:dendrite 3 background:3,6.358,281.676,120.436,222.277,203.449,770.513,1790.760,228.939,34646.138,27.845
10,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:AIS:3,7.805,1382.380,279.652,1158.985,774.986,2060.000,10789.145,1357.777,208739.448,34.320
11,SUM_3dc61759-d920-4b95-88ad-4e50aa761fa7.tif:AIS background:3,7.805,253.195,105.115,202.755,198.365,947.611,1976.122,226.855,38232.370,34.320
