 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:cell body:3,142.191,3346.416,1235.407,2356.279,872.000,5839.000,475831.307,3104.000,9205990.000,0.000
2,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:nucleus:3,64.971,4427.604,873.789,4050.986,1046.000,5839.000,287664.682,4482.000,5565498.000,0.000
3,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:cytoplasm:3,77.582,2431.401,600.998,2351.861,872.000,4069.000,188633.928,2405.000,3649533.000,0.000
4,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:dendrite 1:3,8.632,718.085,212.603,893.684,318.599,1208.156,6198.329,706.774,119920.140,37.911
5,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:dendrite 1 background:3,8.632,177.265,104.915,156.580,141.567,995.625,1530.104,155.797,29603.178,37.911
6,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:dendrite 2:3,6.616,1188.852,367.126,778.501,537.959,1953.564,7865.393,1094.026,152173.118,28.935
7,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:dendrite 2 background:3,6.616,192.864,107.842,151.657,147.005,941.000,1275.976,164.569,24686.531,28.935
8,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:dendrite 3:3,7.650,724.149,306.824,838.216,215.852,1400.426,5539.519,753.242,107174.022,33.500
9,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:dendrite 3 background:3,7.650,181.271,60.424,160.505,143.147,610.887,1386.667,162.185,26828.077,33.500
10,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:AIS:3,8.735,978.807,278.398,680.441,424.561,1626.492,8550.002,976.006,165418.361,38.238
11,SUM_a89c4f0a-1e3e-4322-9f7d-3719494095a5.tif:AIS background:3,8.735,170.206,39.250,154.479,147.407,476.597,1486.773,159.798,28764.850,38.238
