 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:cell body:1,43.727,838.831,294.220,712.627,246.000,1627.000,0.000,0.000,36679.832,822.500,709651.000,0,0.000
2,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:nucleus:1,31.374,906.213,281.806,712.627,246.000,1627.000,0.000,0.000,28431.598,904.000,550071.000,0,0.000
3,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:cytoplasm:1,12.405,666.071,254.000,320.912,253.000,1452.000,0.000,0.000,8262.551,624.500,159857.000,0,0.000
4,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:dendrite 1:1,2.274,488.895,112.257,344.208,343.454,729.230,0.000,0.000,1111.863,471.569,21511.398,0,9.883
5,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:dendrite 1 background:1,2.274,127.171,4.195,125.636,121.558,139.713,0.000,0.000,289.216,126.215,5595.503,0,9.883
6,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:dendrite 2:1,2.171,299.487,60.823,262.236,205.065,455.249,0.000,0.000,650.143,272.054,12578.438,0,9.363
7,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:dendrite 2 background:1,2.171,126.274,4.258,123.271,116.078,138.131,0.000,0.000,274.123,125.822,5303.496,0,9.363
8,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:dendrite 3:1,0.000,129.000,0.000,129.000,129.000,129.000,84.232,85.597,6.668,129.000,129.000,1,0.000
9,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:dendrite 3 background:1,0.000,119.000,0.000,119.000,119.000,119.000,86.506,87.870,6.151,119.000,119.000,1,0.000
10,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:AIS:1,4.393,493.157,68.886,401.371,386.639,666.000,0.000,0.000,2166.641,483.806,41918.370,0,19.136
11,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:AIS background:1,4.393,127.686,6.289,119.166,115.804,146.000,0.000,0.000,560.975,127.059,10853.278,0,19.136
12,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:axon:1,16.126,412.960,90.603,329.241,225.480,712.872,0.000,0.000,6659.554,402.625,128843.543,0,70.876
13,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:axon background:1,16.126,129.534,15.483,126.612,115.598,260.197,0.000,0.000,2088.923,127.011,40414.746,0,70.876
14,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:growth cone:1,43.572,240.866,80.336,195.229,116.000,543.000,0.000,0.000,10495.074,222.000,203050.000,0,0.000
15,SUM_9cc9f8c4-9fd2-4516-8598-ba3d601bec4e.tif:growth cone background:1,43.572,124.447,6.960,122.887,114.000,184.000,0.000,0.000,5422.446,123.000,104909.000,0,0.000
