 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_BCAP31-biotin_1_BOTH.tif:cell body:1,93.864,47.031,39.218,21.000,5.000,209.000,0.000,0.000,4414.547,32.000,85409.000,0,0.000
2,MAX_BCAP31-biotin_1_BOTH.tif:nucleus:1,51.480,41.004,24.825,31.000,9.000,172.000,0.000,0.000,2110.903,33.000,40840.000,0,0.000
3,MAX_BCAP31-biotin_1_BOTH.tif:cytoplasm:1,42.383,54.352,50.616,10.000,5.000,209.000,0.000,0.000,2303.644,29.000,44569.000,0,0.000
4,MAX_BCAP31-biotin_1_BOTH.tif:dendrite 1:1,0.000,4.000,0.000,4.000,4.000,4.000,99.976,32.681,0.207,4.000,4.000,1,0.000
5,MAX_BCAP31-biotin_1_BOTH.tif:dendrite 1 background:1,0.000,4.000,0.000,4.000,4.000,4.000,102.250,34.955,0.207,4.000,4.000,1,0.000
6,MAX_BCAP31-biotin_1_BOTH.tif:dendrite 2:1,0.000,4.000,0.000,4.000,4.000,4.000,99.976,32.681,0.207,4.000,4.000,1,0.000
7,MAX_BCAP31-biotin_1_BOTH.tif:dendrite 2 background:1,0.000,4.000,0.000,4.000,4.000,4.000,102.250,34.955,0.207,4.000,4.000,1,0.000
8,MAX_BCAP31-biotin_1_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,99.976,32.681,0.207,4.000,4.000,1,0.000
9,MAX_BCAP31-biotin_1_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,102.250,34.955,0.207,4.000,4.000,1,0.000
10,MAX_BCAP31-biotin_1_BOTH.tif:AIS:1,2.481,81.446,22.264,57.114,56.685,129.812,0.000,0.000,202.065,72.123,3909.390,0,10.848
11,MAX_BCAP31-biotin_1_BOTH.tif:AIS background:1,2.481,4.440,0.416,4.004,4.000,5.891,0.000,0.000,11.017,4.392,213.140,0,10.848
12,MAX_BCAP31-biotin_1_BOTH.tif:axon:1,12.457,57.438,20.110,41.234,20.201,135.993,0.000,0.000,715.477,53.948,13842.459,0,54.614
13,MAX_BCAP31-biotin_1_BOTH.tif:axon background:1,12.457,10.442,26.531,4.115,3.072,181.016,0.000,0.000,130.067,4.208,2516.423,0,54.614
14,MAX_BCAP31-biotin_1_BOTH.tif:growth cone:1,76.032,20.480,14.680,8.000,4.000,118.000,0.000,0.000,1557.127,16.000,30126.000,0,0.000
15,MAX_BCAP31-biotin_1_BOTH.tif:growth cone background:1,76.032,4.939,7.468,4.000,3.000,195.000,0.000,0.000,375.559,4.000,7266.000,0,0.000
