 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_ERGIC53_1_BOTH.tif:cell body:1,86.628,137.224,53.821,102.000,15.000,255.000,0.000,0.000,11887.371,138.000,229987.000,0,0.000
2,MAX_ERGIC53_1_BOTH.tif:nucleus:1,54.685,154.724,39.152,176.000,69.000,255.000,0.000,0.000,8461.082,154.000,163698.000,0,0.000
3,MAX_ERGIC53_1_BOTH.tif:cytoplasm:1,31.943,107.264,61.754,255.000,15.000,255.000,0.000,0.000,3426.289,93.000,66289.000,0,0.000
4,MAX_ERGIC53_1_BOTH.tif:dendrite 1:1,0.000,5.000,0.000,5.000,5.000,5.000,19.666,40.695,0.258,5.000,5.000,1,0.000
5,MAX_ERGIC53_1_BOTH.tif:dendrite 1 background:1,0.000,4.000,0.000,4.000,4.000,4.000,21.939,42.969,0.207,4.000,4.000,1,0.000
6,MAX_ERGIC53_1_BOTH.tif:dendrite 2:1,0.000,5.000,0.000,5.000,5.000,5.000,19.666,40.695,0.258,5.000,5.000,1,0.000
7,MAX_ERGIC53_1_BOTH.tif:dendrite 2 background:1,0.000,4.000,0.000,4.000,4.000,4.000,21.939,42.969,0.207,4.000,4.000,1,0.000
8,MAX_ERGIC53_1_BOTH.tif:dendrite 3:1,0.000,5.000,0.000,5.000,5.000,5.000,19.666,40.695,0.258,5.000,5.000,1,0.000
9,MAX_ERGIC53_1_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,21.939,42.969,0.207,4.000,4.000,1,0.000
10,MAX_ERGIC53_1_BOTH.tif:AIS:1,2.171,121.233,21.227,113.228,85.582,173.500,0.000,0.000,263.180,118.153,5091.795,0,9.494
11,MAX_ERGIC53_1_BOTH.tif:AIS background:1,2.171,6.237,2.155,4.550,4.235,16.642,0.000,0.000,13.539,5.649,261.946,0,9.494
12,MAX_ERGIC53_1_BOTH.tif:axon:1,7.960,91.411,25.010,62.320,46.890,161.388,0.000,0.000,727.619,87.677,14077.368,0,34.885
13,MAX_ERGIC53_1_BOTH.tif:axon background:1,7.960,8.631,17.936,4.900,4.004,156.905,0.000,0.000,68.699,5.384,1329.133,0,34.885
14,MAX_ERGIC53_1_BOTH.tif:growth cone:1,40.264,43.225,21.188,21.000,8.000,126.000,0.000,0.000,1740.409,40.000,33672.000,0,0.000
15,MAX_ERGIC53_1_BOTH.tif:growth cone background:1,40.264,8.112,14.377,5.000,3.000,195.000,0.000,0.000,326.611,5.000,6319.000,0,0.000
