 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_ERGIC53_3_soma.tif:cell body:1,106.631,115.299,67.317,127.000,4.000,254.000,0.000,0.000,12294.407,116.000,237862.000,0,0.000
2,MAX_ERGIC53_3_soma.tif:nucleus:1,72.879,131.313,46.458,114.000,43.000,252.000,0.000,0.000,9569.926,127.000,185151.000,0,0.000
3,MAX_ERGIC53_3_soma.tif:cytoplasm:1,66.211,94.091,71.727,21.000,4.000,254.000,0.000,0.000,6229.903,74.000,120531.000,0,0.000
4,MAX_ERGIC53_3_soma.tif:dendrite 1:1,0.000,5.000,0.000,5.000,5.000,5.000,43.196,37.512,0.258,5.000,5.000,1,0.000
5,MAX_ERGIC53_3_soma.tif:dendrite 1 background:1,0.000,7.000,0.000,7.000,7.000,7.000,45.470,39.786,0.362,7.000,7.000,1,0.000
6,MAX_ERGIC53_3_soma.tif:dendrite 2:1,0.000,5.000,0.000,5.000,5.000,5.000,43.196,37.512,0.258,5.000,5.000,1,0.000
7,MAX_ERGIC53_3_soma.tif:dendrite 2 background:1,0.000,7.000,0.000,7.000,7.000,7.000,45.470,39.786,0.362,7.000,7.000,1,0.000
8,MAX_ERGIC53_3_soma.tif:dendrite 3:1,0.000,5.000,0.000,5.000,5.000,5.000,43.196,37.512,0.258,5.000,5.000,1,0.000
9,MAX_ERGIC53_3_soma.tif:dendrite 3 background:1,0.000,7.000,0.000,7.000,7.000,7.000,45.470,39.786,0.362,7.000,7.000,1,0.000
10,MAX_ERGIC53_3_soma.tif:AIS:1,8.787,90.488,29.516,80.068,46.223,255.000,0.000,0.000,795.099,86.255,15382.912,0,38.543
11,MAX_ERGIC53_3_soma.tif:AIS background:1,8.787,8.448,21.190,4.326,3.208,193.975,0.000,0.000,74.228,4.860,1436.109,0,38.543
