 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SLC38A1_2_BOTH.tif:cell body:1,74.274,113.653,22.075,121.000,21.000,164.000,0.000,0.000,8441.544,117.000,163320.000,0,0.000
2,MAX_SLC38A1_2_BOTH.tif:nucleus:1,56.391,115.843,17.216,121.000,64.000,164.000,0.000,0.000,6532.479,118.000,126385.000,0,0.000
3,MAX_SLC38A1_2_BOTH.tif:cytoplasm:1,30.495,103.532,26.989,113.000,21.000,164.000,0.000,0.000,3157.257,109.000,61084.000,0,0.000
4,MAX_SLC38A1_2_BOTH.tif:dendrite 1:1,0.000,18.000,0.000,18.000,18.000,18.000,73.547,34.330,0.930,18.000,18.000,1,0.000
5,MAX_SLC38A1_2_BOTH.tif:dendrite 1 background:1,0.000,9.000,0.000,9.000,9.000,9.000,75.821,36.603,0.465,9.000,9.000,1,0.000
6,MAX_SLC38A1_2_BOTH.tif:dendrite 2:1,0.000,18.000,0.000,18.000,18.000,18.000,73.547,34.330,0.930,18.000,18.000,1,0.000
7,MAX_SLC38A1_2_BOTH.tif:dendrite 2 background:1,0.000,9.000,0.000,9.000,9.000,9.000,75.821,36.603,0.465,9.000,9.000,1,0.000
8,MAX_SLC38A1_2_BOTH.tif:dendrite 3:1,0.000,18.000,0.000,18.000,18.000,18.000,73.547,34.330,0.930,18.000,18.000,1,0.000
9,MAX_SLC38A1_2_BOTH.tif:dendrite 3 background:1,0.000,9.000,0.000,9.000,9.000,9.000,75.821,36.603,0.465,9.000,9.000,1,0.000
10,MAX_SLC38A1_2_BOTH.tif:AIS:1,6.358,45.022,9.623,42.612,27.517,86.513,0.000,0.000,286.228,43.369,5537.705,0,27.897
11,MAX_SLC38A1_2_BOTH.tif:AIS background:1,6.358,11.638,1.879,10.945,7.817,17.409,0.000,0.000,73.986,11.320,1431.415,0,27.897
12,MAX_SLC38A1_2_BOTH.tif:axon:1,17.057,41.214,9.485,37.318,18.812,89.000,0.000,0.000,702.985,40.142,13600.778,0,74.930
13,MAX_SLC38A1_2_BOTH.tif:axon background:1,17.057,12.348,7.166,9.920,7.407,83.086,0.000,0.000,210.617,11.029,4074.850,0,74.930
14,MAX_SLC38A1_2_BOTH.tif:growth cone:1,76.807,35.484,15.960,34.000,8.000,108.000,0.000,0.000,2725.411,34.000,52729.000,0,0.000
15,MAX_SLC38A1_2_BOTH.tif:growth cone background:1,76.807,10.967,3.305,9.000,6.000,42.000,0.000,0.000,842.345,10.000,16297.000,0,0.000
