 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SLC38A1_6_soma.tif:cell body:1,101.617,102.597,48.330,144.000,10.000,190.000,0.000,0.000,10425.607,119.000,201706.000,0,0.000
2,MAX_SLC38A1_6_soma.tif:nucleus:1,42.694,140.956,17.981,144.000,76.000,179.000,0.000,0.000,6017.934,142.000,116430.000,0,0.000
3,MAX_SLC38A1_6_soma.tif:cytoplasm:1,58.923,74.804,44.219,42.000,10.000,190.000,0.000,0.000,4407.673,61.000,85276.000,0,0.000
4,MAX_SLC38A1_6_soma.tif:dendrite 1:1,0.000,13.000,0.000,13.000,13.000,13.000,44.333,99.010,0.672,13.000,13.000,1,0.000
5,MAX_SLC38A1_6_soma.tif:dendrite 1 background:1,0.000,10.000,0.000,10.000,10.000,10.000,46.606,101.284,0.517,10.000,10.000,1,0.000
6,MAX_SLC38A1_6_soma.tif:dendrite 2:1,0.000,13.000,0.000,13.000,13.000,13.000,44.333,99.010,0.672,13.000,13.000,1,0.000
7,MAX_SLC38A1_6_soma.tif:dendrite 2 background:1,0.000,10.000,0.000,10.000,10.000,10.000,46.606,101.284,0.517,10.000,10.000,1,0.000
8,MAX_SLC38A1_6_soma.tif:dendrite 3:1,0.000,13.000,0.000,13.000,13.000,13.000,44.333,99.010,0.672,13.000,13.000,1,0.000
9,MAX_SLC38A1_6_soma.tif:dendrite 3 background:1,0.000,10.000,0.000,10.000,10.000,10.000,46.606,101.284,0.517,10.000,10.000,1,0.000
10,MAX_SLC38A1_6_soma.tif:AIS:1,4.445,77.182,16.615,58.956,49.337,115.000,0.000,0.000,343.079,73.473,6637.615,0,19.494
11,MAX_SLC38A1_6_soma.tif:AIS background:1,4.445,16.025,10.075,10.398,8.499,47.375,0.000,0.000,71.235,12.128,1378.190,0,19.494
12,MAX_SLC38A1_6_soma.tif:axon:1,22.897,40.711,21.876,26.298,14.921,129.132,0.000,0.000,932.165,32.014,18034.758,0,100.536
13,MAX_SLC38A1_6_soma.tif:axon background:1,22.897,11.575,5.552,10.021,6.607,53.849,0.000,0.000,265.041,10.426,5127.802,0,100.536
14,MAX_SLC38A1_6_soma.tif:growth cone:1,38.093,21.906,17.156,13.000,6.000,99.000,0.000,0.000,834.489,15.000,16145.000,0,0.000
15,MAX_SLC38A1_6_soma.tif:growth cone background:1,38.093,8.944,2.396,7.000,4.000,29.000,0.000,0.000,340.722,8.000,6592.000,0,0.000
