 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_SURF4_3_BOTH.tif:cell body:1,104.873,57.412,33.458,41.000,7.000,255.000,6020.983,47.000,116489.000,0.000
2,MAX_SURF4_3_BOTH.tif:nucleus:1,49.051,51.164,21.993,41.000,18.000,195.000,2509.669,45.000,48555.000,0.000
3,MAX_SURF4_3_BOTH.tif:cytoplasm:1,55.822,62.902,40.182,35.000,7.000,255.000,3511.314,54.000,67934.000,0.000
4,MAX_SURF4_3_BOTH.tif:dendrite 1:1,0.517,16.155,6.182,8.265,8.227,28.000,8.350,16.055,161.551,2.115
5,MAX_SURF4_3_BOTH.tif:dendrite 1 background:1,0.517,27.736,15.263,8.623,8.542,50.250,14.336,31.411,277.358,2.115
6,MAX_SURF4_3_BOTH.tif:dendrite 2:1,0.310,13.555,5.313,8.318,8.292,21.500,4.204,11.548,81.331,1.215
7,MAX_SURF4_3_BOTH.tif:dendrite 2 background:1,0.310,121.273,19.600,96.086,95.990,145.559,37.610,116.132,727.638,1.215
8,MAX_SURF4_3_BOTH.tif:dendrite 3:1,0.362,19.829,4.348,12.524,12.500,24.962,7.174,19.873,138.804,1.525
9,MAX_SURF4_3_BOTH.tif:dendrite 3 background:1,0.362,119.156,10.322,108.335,108.282,135.250,43.112,121.160,834.094,1.525
10,MAX_SURF4_3_BOTH.tif:AIS:1,3.825,86.250,22.945,75.566,44.794,138.021,329.894,84.567,6382.513,16.817
11,MAX_SURF4_3_BOTH.tif:AIS background:1,3.825,7.455,5.677,5.066,3.924,38.313,28.516,5.733,551.702,16.817
12,MAX_SURF4_3_BOTH.tif:axon:1,24.603,42.822,19.878,31.186,12.019,178.348,1053.548,39.596,20383.177,108.039
13,MAX_SURF4_3_BOTH.tif:axon background:1,24.603,4.792,2.771,4.044,3.000,38.636,117.903,4.327,2281.086,108.039
14,MAX_SURF4_3_BOTH.tif:growth cone:1,35.457,21.710,17.157,8.000,4.000,91.000,769.777,15.000,14893.000,0.000
15,MAX_SURF4_3_BOTH.tif:growth cone background:1,35.509,4.518,2.074,4.000,3.000,40.000,160.437,4.000,3104.000,0.000
