 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_SURF4_6_BOTH.tif:cell body:1,66.780,70.996,31.978,73.000,10.000,198.000,0.000,0.000,4741.106,70.000,91727.000,0,0.000
2,MAX_SURF4_6_BOTH.tif:nucleus:1,38.869,83.411,26.571,73.000,34.000,198.000,0.000,0.000,3242.076,80.000,62725.000,0,0.000
3,MAX_SURF4_6_BOTH.tif:cytoplasm:1,27.911,53.707,30.841,24.000,10.000,171.000,0.000,0.000,1499.030,49.000,29002.000,0,0.000
4,MAX_SURF4_6_BOTH.tif:dendrite 1:1,4.032,43.850,12.354,41.841,17.242,82.500,0.000,0.000,176.786,43.343,3420.305,0,17.651
5,MAX_SURF4_6_BOTH.tif:dendrite 1 background:1,4.032,4.766,1.024,5.008,3.338,11.328,0.000,0.000,19.214,4.576,371.741,0,17.651
6,MAX_SURF4_6_BOTH.tif:dendrite 2:1,3.050,24.732,11.554,18.243,9.888,62.702,0.000,0.000,75.422,22.404,1459.212,0,13.408
7,MAX_SURF4_6_BOTH.tif:dendrite 2 background:1,3.050,4.632,0.673,4.995,3.543,7.743,0.000,0.000,14.124,4.561,273.267,0,13.408
8,MAX_SURF4_6_BOTH.tif:dendrite 3:1,0.000,3.000,0.000,3.000,3.000,3.000,108.218,94.008,0.155,3.000,3.000,1,0.000
9,MAX_SURF4_6_BOTH.tif:dendrite 3 background:1,0.000,3.000,0.000,3.000,3.000,3.000,110.491,96.282,0.155,3.000,3.000,1,0.000
10,MAX_SURF4_6_BOTH.tif:AIS:1,2.119,25.585,7.402,18.628,13.826,41.452,0.000,0.000,54.219,24.804,1048.989,0,9.104
11,MAX_SURF4_6_BOTH.tif:AIS background:1,2.119,4.627,0.699,4.994,3.238,6.507,0.000,0.000,9.806,4.671,189.720,0,9.104
12,MAX_SURF4_6_BOTH.tif:axon:1,5.841,24.604,7.210,24.443,13.133,44.435,0.000,0.000,143.706,24.311,2780.305,0,25.598
13,MAX_SURF4_6_BOTH.tif:axon background:1,5.841,5.005,2.073,4.013,3.120,17.870,0.000,0.000,29.233,4.477,565.583,0,25.598
14,MAX_SURF4_6_BOTH.tif:growth cone:1,24.345,20.389,14.840,11.000,6.000,103.000,0.000,0.000,496.352,16.000,9603.000,0,0.000
15,MAX_SURF4_6_BOTH.tif:growth cone background:1,24.345,4.433,0.870,4.000,3.000,8.000,0.000,0.000,107.923,4.000,2088.000,0,0.000
