 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:cell body:1,41.918,636.945,266.567,457.693,194.000,1903.000,0.000,0.000,26699.613,553.000,516562.000,0,0.000
2,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:nucleus:1,30.185,613.765,231.437,452.881,228.000,1415.000,0.000,0.000,18526.687,530.000,358439.000,0,0.000
3,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:cytoplasm:1,11.733,696.577,333.979,611.236,194.000,1903.000,0.000,0.000,8172.926,627.000,158123.000,0,0.000
4,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:dendrite 1:1,5.169,272.767,66.124,210.575,171.461,412.741,0.000,0.000,1409.854,271.219,27276.692,0,22.695
5,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:dendrite 1 background:1,5.169,97.276,22.476,86.627,84.849,186.019,0.000,0.000,502.792,88.427,9727.608,0,22.695
6,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:dendrite 2:1,0.000,87.000,0.000,87.000,87.000,87.000,99.919,32.852,4.497,87.000,87.000,1,0.000
7,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:dendrite 2 background:1,0.000,89.000,0.000,89.000,89.000,89.000,102.193,35.125,4.600,89.000,89.000,1,0.000
8,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:dendrite 3:1,0.000,87.000,0.000,87.000,87.000,87.000,99.919,32.852,4.497,87.000,87.000,1,0.000
9,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:dendrite 3 background:1,0.000,89.000,0.000,89.000,89.000,89.000,102.193,35.125,4.600,89.000,89.000,1,0.000
10,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:AIS:1,3.980,327.496,49.144,334.905,216.635,472.138,0.000,0.000,1303.404,326.860,25217.173,0,17.344
11,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:AIS background:1,3.980,97.809,25.097,88.780,86.502,216.114,0.000,0.000,389.272,89.681,7531.321,0,17.344
12,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:axon:1,11.785,338.510,86.189,322.628,202.469,909.615,0.000,0.000,3989.224,323.235,77180.206,0,51.687
13,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:axon background:1,11.785,107.065,72.790,89.100,86.150,589.608,0.000,0.000,1261.727,89.779,24410.842,0,51.687
14,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:growth cone:1,58.717,168.682,81.450,109.486,90.000,997.000,0.000,0.000,9904.445,147.000,191623.000,0,0.000
15,SUM_faab7fc0-c218-4045-b707-92b68d5afccc.tif:growth cone background:1,58.717,97.473,36.922,88.717,84.000,567.000,0.000,0.000,5723.265,90.000,110729.000,0,0.000
