 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:cell body:1,105.390,575.205,219.888,412.020,197.000,1287.000,0.000,0.000,60620.902,521.000,1172843.000,0,0.000
2,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:nucleus:1,49.310,549.910,156.139,411.801,289.000,1287.000,0.000,0.000,27115.798,512.000,524614.000,0,0.000
3,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:cytoplasm:1,56.081,597.446,261.556,398.957,197.000,1263.000,0.000,0.000,33505.104,543.000,648229.000,0,0.000
4,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:dendrite 1:1,0.000,137.000,0.000,137.000,137.000,137.000,56.231,6.593,7.081,137.000,137.000,1,0.000
5,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:dendrite 1 background:1,0.000,136.000,0.000,136.000,136.000,136.000,58.504,8.867,7.029,136.000,136.000,1,0.000
6,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:dendrite 2:1,0.000,137.000,0.000,137.000,137.000,137.000,56.231,6.593,7.081,137.000,137.000,1,0.000
7,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:dendrite 2 background:1,0.000,136.000,0.000,136.000,136.000,136.000,58.504,8.867,7.029,136.000,136.000,1,0.000
8,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:dendrite 3:1,0.000,137.000,0.000,137.000,137.000,137.000,56.231,6.593,7.081,137.000,137.000,1,0.000
9,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:dendrite 3 background:1,0.000,136.000,0.000,136.000,136.000,136.000,58.504,8.867,7.029,136.000,136.000,1,0.000
10,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:AIS:1,5.944,396.076,176.056,316.411,269.884,1091.339,0.000,0.000,2354.284,337.776,45548.740,0,25.979
11,SUM_2bf53c16-6b78-49ff-9704-d1ff9a80e8be.tif:AIS background:1,5.944,134.622,1.809,133.712,132.024,143.550,0.000,0.000,800.193,134.239,15481.478,0,25.979
