 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:cell body:1,104.666,686.560,353.442,382.775,181.000,1932.000,0.000,0.000,71859.754,606.000,1390283.000,0,0.000
2,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:nucleus:1,43.624,805.459,298.104,571.264,323.000,1932.000,0.000,0.000,35137.281,736.500,679807.000,0,0.000
3,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:cytoplasm:1,61.043,601.588,365.305,293.600,181.000,1928.000,0.000,0.000,36722.473,472.000,710476.000,0,0.000
4,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:dendrite 1:1,3.877,321.940,49.432,289.223,221.380,451.417,0.000,0.000,1248.012,317.898,24145.501,0,17.005
5,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:dendrite 1 background:1,3.877,135.026,5.942,133.350,129.641,173.803,0.000,0.000,523.433,133.425,10126.945,0,17.005
6,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:dendrite 2:1,0.000,127.000,0.000,127.000,127.000,127.000,38.839,15.801,6.564,127.000,127.000,1,0.000
7,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:dendrite 2 background:1,0.000,127.000,0.000,127.000,127.000,127.000,41.112,18.074,6.564,127.000,127.000,1,0.000
8,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:dendrite 3:1,0.000,127.000,0.000,127.000,127.000,127.000,38.839,15.801,6.564,127.000,127.000,1,0.000
9,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:dendrite 3 background:1,0.000,127.000,0.000,127.000,127.000,127.000,41.112,18.074,6.564,127.000,127.000,1,0.000
10,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:AIS:1,2.688,356.645,33.548,330.212,273.410,435.881,0.000,0.000,958.566,351.061,18545.537,0,11.780
11,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:AIS background:1,2.688,139.740,19.316,131.373,131.162,239.486,0.000,0.000,375.583,134.530,7266.468,0,11.780
12,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:axon:1,10.958,324.501,64.866,299.679,214.792,779.237,0.000,0.000,3555.776,311.273,68794.205,0,48.196
13,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:axon background:1,10.958,136.665,12.559,134.467,129.717,272.762,0.000,0.000,1497.530,134.553,28972.965,0,48.196
14,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:growth cone:1,91.383,293.932,155.873,169.031,132.000,1396.000,0.000,0.000,26860.308,251.000,519671.000,0,0.000
15,SUM_906cf976-771d-404b-bd9b-84c64a099581.tif:growth cone background:1,91.383,134.770,9.966,131.867,128.000,348.000,0.000,0.000,12315.702,134.000,238274.000,0,0.000
