 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:cell body:1,74.274,1223.987,365.629,1382.385,313.000,2304.000,0.000,0.000,90910.962,1275.000,1758870.000,0,0.000
2,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:nucleus:1,56.391,1316.742,266.912,1386.650,650.000,2215.000,0.000,0.000,74251.990,1331.000,1436566.000,0,0.000
3,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:cytoplasm:1,30.495,1084.793,422.429,1242.393,313.000,2304.000,0.000,0.000,33081.218,1113.500,640028.000,0,0.000
4,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:dendrite 1:1,0.000,186.000,0.000,186.000,186.000,186.000,73.547,34.330,9.614,186.000,186.000,1,0.000
5,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:dendrite 1 background:1,0.000,178.000,0.000,178.000,178.000,178.000,75.821,36.603,9.200,178.000,178.000,1,0.000
6,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:dendrite 2:1,0.000,186.000,0.000,186.000,186.000,186.000,73.547,34.330,9.614,186.000,186.000,1,0.000
7,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:dendrite 2 background:1,0.000,178.000,0.000,178.000,178.000,178.000,75.821,36.603,9.200,178.000,178.000,1,0.000
8,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:dendrite 3:1,0.000,186.000,0.000,186.000,186.000,186.000,73.547,34.330,9.614,186.000,186.000,1,0.000
9,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:dendrite 3 background:1,0.000,178.000,0.000,178.000,178.000,178.000,75.821,36.603,9.200,178.000,178.000,1,0.000
10,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:AIS:1,6.358,348.768,48.122,334.313,284.931,582.389,0.000,0.000,2217.301,340.535,42898.504,0,27.897
11,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:AIS background:1,6.358,189.682,11.717,190.277,167.960,239.822,0.000,0.000,1205.905,188.684,23330.850,0,27.897
12,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:axon:1,17.057,324.816,34.219,316.183,231.639,500.500,0.000,0.000,5540.308,322.361,107189.299,0,74.930
13,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:axon background:1,17.057,192.910,36.138,185.347,161.148,536.609,0.000,0.000,3290.411,187.914,63660.151,0,74.930
14,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:growth cone:1,76.807,323.694,77.950,314.486,178.000,647.000,0.000,0.000,24861.980,318.500,481009.000,0,0.000
15,SUM_d2ab2ccc-ff12-40db-868b-420ff318d3ea.tif:growth cone background:1,76.807,184.269,14.259,178.848,152.000,310.000,0.000,0.000,14153.128,182.000,273823.000,0,0.000
