 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:cell body:1,101.617,919.279,485.065,396.619,193.000,1960.000,0.000,0.000,93414.274,878.500,1807302.000,0,0.000
2,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:nucleus:1,42.694,1340.659,290.902,1559.271,583.000,1960.000,0.000,0.000,57237.513,1365.500,1107384.000,0,0.000
3,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:cytoplasm:1,58.923,613.963,350.082,398.787,193.000,1720.000,0.000,0.000,36176.761,482.000,699918.000,0,0.000
4,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:dendrite 1:1,0.000,158.000,0.000,158.000,158.000,158.000,44.333,99.010,8.167,158.000,158.000,1,0.000
5,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:dendrite 1 background:1,0.000,143.000,0.000,143.000,143.000,143.000,46.606,101.284,7.391,143.000,143.000,1,0.000
6,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:dendrite 2:1,0.000,158.000,0.000,158.000,158.000,158.000,44.333,99.010,8.167,158.000,158.000,1,0.000
7,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:dendrite 2 background:1,0.000,143.000,0.000,143.000,143.000,143.000,46.606,101.284,7.391,143.000,143.000,1,0.000
8,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:dendrite 3:1,0.000,158.000,0.000,158.000,158.000,158.000,44.333,99.010,8.167,158.000,158.000,1,0.000
9,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:dendrite 3 background:1,0.000,143.000,0.000,143.000,143.000,143.000,46.606,101.284,7.391,143.000,143.000,1,0.000
10,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:AIS:1,4.445,478.992,102.954,403.813,352.565,702.412,0.000,0.000,2129.167,449.877,41193.350,0,19.494
11,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:AIS background:1,4.445,189.983,64.429,150.111,143.633,398.776,0.000,0.000,844.491,165.646,16338.514,0,19.494
12,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:axon:1,22.897,297.693,111.438,238.129,179.323,726.754,0.000,0.000,6816.402,251.673,131878.099,0,100.536
13,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:axon background:1,22.897,158.879,32.490,146.085,132.552,409.707,0.000,0.000,3637.919,152.240,70383.445,0,100.536
14,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:growth cone:1,38.093,232.901,113.924,172.334,136.000,825.000,0.000,0.000,8871.994,192.000,171648.000,0,0.000
15,SUM_ead12acb-800d-4ed7-9534-a6611c83fe95.tif:growth cone background:1,38.093,144.760,9.112,141.980,125.000,179.000,0.000,0.000,5514.398,144.000,106688.000,0,0.000
