 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:cell body:1,66.831,348.718,126.707,356.877,132.000,1295.000,0.000,0.000,23305.370,341.000,450893.000,0,0.000
2,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:nucleus:1,42.177,371.534,77.447,354.037,188.000,847.000,0.000,0.000,15670.094,360.000,303172.000,0,0.000
3,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:cytoplasm:1,24.655,309.688,175.750,220.588,132.000,1295.000,0.000,0.000,7635.276,258.000,147721.000,0,0.000
4,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:dendrite 1:1,0.000,105.000,0.000,105.000,105.000,105.000,102.079,27.282,5.427,105.000,105.000,1,0.000
5,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:dendrite 1 background:1,0.000,106.000,0.000,106.000,106.000,106.000,104.353,29.555,5.479,106.000,106.000,1,0.000
6,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:dendrite 2:1,0.000,105.000,0.000,105.000,105.000,105.000,102.079,27.282,5.427,105.000,105.000,1,0.000
7,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:dendrite 2 background:1,0.000,106.000,0.000,106.000,106.000,106.000,104.353,29.555,5.479,106.000,106.000,1,0.000
8,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:dendrite 3:1,0.000,105.000,0.000,105.000,105.000,105.000,102.079,27.282,5.427,105.000,105.000,1,0.000
9,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:dendrite 3 background:1,0.000,106.000,0.000,106.000,106.000,106.000,104.353,29.555,5.479,106.000,106.000,1,0.000
10,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:AIS:1,3.308,292.357,78.768,328.125,197.006,531.000,0.000,0.000,967.112,263.453,18710.876,0,14.477
11,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:AIS background:1,3.308,107.731,1.234,106.782,105.305,111.997,0.000,0.000,356.371,107.533,6894.777,0,14.477
12,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:axon:1,16.023,242.387,60.556,205.860,144.403,482.749,0.000,0.000,3883.770,231.233,75139.969,0,70.315
13,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:axon background:1,16.023,108.395,2.903,107.002,105.000,125.915,0.000,0.000,1736.811,107.697,33602.373,0,70.315
14,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:growth cone:1,38.093,210.916,96.535,143.031,109.000,637.000,0.000,0.000,8034.508,171.000,155445.000,0,0.000
15,SUM_04acc585-62a2-41a1-9849-da46aacfbf2b.tif:growth cone background:1,38.093,108.000,3.345,107.021,105.000,174.000,0.000,0.000,4114.090,107.000,79596.000,0,0.000
