 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:cell body:1,104.873,447.730,210.922,289.102,138.000,1366.000,46954.925,401.000,908445.000,0.000
2,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:nucleus:1,49.051,444.624,154.784,327.045,196.000,1261.000,21809.286,414.000,421948.000,0.000
3,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:cytoplasm:1,55.822,450.460,250.102,236.336,138.000,1366.000,25145.639,370.500,486497.000,0.000
4,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:dendrite 1:1,0.517,154.949,16.938,130.932,130.816,190.250,80.089,157.524,1549.492,2.115
5,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:dendrite 1 background:1,0.517,231.304,69.806,141.114,140.696,354.500,119.555,238.063,2313.044,2.115
6,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:dendrite 2:1,0.310,157.894,20.947,141.463,141.359,194.500,48.966,150.403,947.363,1.215
7,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:dendrite 2 background:1,0.310,927.877,132.366,754.658,753.908,1137.996,287.756,938.964,5567.264,1.215
8,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:dendrite 3:1,0.362,175.849,9.202,163.696,163.651,186.748,63.624,175.500,1230.940,1.525
9,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:dendrite 3 background:1,0.362,985.503,96.341,875.409,874.978,1096.000,356.565,976.763,6898.519,1.525
10,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:AIS:1,3.825,472.143,119.235,343.526,295.546,796.889,1805.874,460.115,34938.548,16.817
11,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:AIS background:1,3.825,132.365,33.482,117.137,112.887,280.270,506.277,119.314,9795.031,16.817
12,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:axon:1,24.603,280.264,92.203,222.968,160.483,904.500,6895.362,263.560,133405.746,108.039
13,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:axon background:1,24.603,115.743,14.237,112.705,111.000,285.631,2847.629,113.265,55093.568,108.039
14,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:growth cone:1,35.457,206.380,93.236,125.215,114.000,636.000,7317.710,168.500,141577.000,0.000
15,SUM_af5cc87f-010b-4276-87ad-527f423192ac.tif:growth cone background:1,35.457,114.003,6.252,112.104,111.000,224.000,4042.245,113.000,78206.000,0.000
