 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:cell body:1,117.330,55.874,44.007,32.000,5.000,246.000,0.000,0.000,6555.635,40.000,126833.000,0,0.000
2,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:nucleus:1,57.993,47.803,29.442,29.000,8.000,215.000,0.000,0.000,2772.240,38.000,53635.000,0,0.000
3,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:cytoplasm:1,59.337,63.761,53.459,13.000,5.000,246.000,0.000,0.000,3783.395,45.000,73198.000,0,0.000
4,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:dendrite 1:1,1.292,14.495,10.871,9.979,5.513,43.000,0.000,0.000,18.730,10.000,362.374,0,5.641
5,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:dendrite 1 background:1,1.292,3.884,1.077,4.006,3.000,8.000,0.000,0.000,5.018,4.000,97.091,0,5.641
6,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:dendrite 2:1,0.000,4.000,0.000,4.000,4.000,4.000,17.278,100.715,0.207,4.000,4.000,1,0.000
7,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:dendrite 2 background:1,0.000,4.000,0.000,4.000,4.000,4.000,19.552,102.989,0.207,4.000,4.000,1,0.000
8,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,17.278,100.715,0.207,4.000,4.000,1,0.000
9,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,19.552,102.989,0.207,4.000,4.000,1,0.000
10,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:AIS:1,3.928,43.124,11.033,38.686,23.639,71.491,0.000,0.000,169.401,42.584,3277.434,0,17.206
11,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:AIS background:1,3.928,5.602,7.716,4.076,3.000,64.239,0.000,0.000,22.005,3.967,425.741,0,17.206
12,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:axon:1,23.673,33.806,25.867,18.165,5.662,178.678,0.000,0.000,800.290,27.031,15483.350,0,104.056
13,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:axon background:1,23.673,10.658,22.594,4.005,3.000,174.553,0.000,0.000,252.293,3.999,4881.154,0,104.056
14,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:growth cone:1,28.583,10.832,6.007,7.000,3.000,34.000,0.000,0.000,309.606,9.000,5990.000,0,0.000
15,MAX_i3-11_BCAP31-biotin_6_BOTH.tif:growth cone background:1,28.583,3.591,2.158,3.000,3.000,44.000,0.000,0.000,102.651,3.000,1986.000,0,0.000
