 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_i3-11_ERGIC53_4_BOTH.tif:cell body:1,168.965,20.834,14.442,15.000,4.000,183.000,0.000,0.000,3520.153,17.000,68105.000,0,0.000
2,MAX_i3-11_ERGIC53_4_BOTH.tif:nucleus:1,63.730,23.364,14.170,15.000,6.000,183.000,0.000,0.000,1489.003,20.000,28808.000,0,0.000
3,MAX_i3-11_ERGIC53_4_BOTH.tif:cytoplasm:1,105.235,19.301,14.394,9.000,4.000,139.000,0.000,0.000,2031.150,14.000,39297.000,0,0.000
4,MAX_i3-11_ERGIC53_4_BOTH.tif:dendrite 1:1,0.362,6.659,0.592,6.999,5.725,7.312,0.000,0.000,2.409,6.974,46.611,0,1.456
5,MAX_i3-11_ERGIC53_4_BOTH.tif:dendrite 1 background:1,0.362,4.231,0.418,3.830,3.827,5.000,0.000,0.000,1.531,4.062,29.620,0,1.456
6,MAX_i3-11_ERGIC53_4_BOTH.tif:dendrite 2:1,0.000,5.000,0.000,5.000,5.000,5.000,22.280,38.649,0.258,5.000,5.000,1,0.000
7,MAX_i3-11_ERGIC53_4_BOTH.tif:dendrite 2 background:1,0.000,4.000,0.000,4.000,4.000,4.000,24.554,40.923,0.207,4.000,4.000,1,0.000
8,MAX_i3-11_ERGIC53_4_BOTH.tif:dendrite 3:1,0.000,5.000,0.000,5.000,5.000,5.000,22.280,38.649,0.258,5.000,5.000,1,0.000
9,MAX_i3-11_ERGIC53_4_BOTH.tif:dendrite 3 background:1,0.000,4.000,0.000,4.000,4.000,4.000,24.554,40.923,0.207,4.000,4.000,1,0.000
10,MAX_i3-11_ERGIC53_4_BOTH.tif:AIS:1,3.877,16.291,4.956,14.357,7.995,31.430,0.000,0.000,63.153,15.121,1221.840,0,16.974
11,MAX_i3-11_ERGIC53_4_BOTH.tif:AIS background:1,3.877,4.011,0.657,3.853,3.000,6.282,0.000,0.000,15.548,3.917,300.810,0,16.974
12,MAX_i3-11_ERGIC53_4_BOTH.tif:axon:1,11.216,15.344,4.682,11.666,6.422,32.487,0.000,0.000,172.095,14.290,3329.559,0,49.159
13,MAX_i3-11_ERGIC53_4_BOTH.tif:axon background:1,11.216,4.080,0.931,4.007,3.000,11.454,0.000,0.000,45.764,3.954,885.394,0,49.159
14,MAX_i3-11_ERGIC53_4_BOTH.tif:growth cone:1,70.501,9.033,5.229,5.000,3.000,47.000,0.000,0.000,636.837,7.000,12321.000,0,0.000
15,MAX_i3-11_ERGIC53_4_BOTH.tif:growth cone background:1,70.501,3.932,1.018,3.000,3.000,9.000,0.000,0.000,277.198,4.000,5363.000,0,0.000
