 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:cell body:1,67.969,89.522,62.027,36.000,8.000,255.000,6084.714,67.000,117722.000,0.000
2,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:nucleus:1,38.765,73.592,37.853,51.000,22.000,242.000,2852.820,61.000,55194.000,0.000
3,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:cytoplasm:1,32.408,105.158,77.083,36.000,8.000,255.000,3407.940,80.000,65934.000,0.000
4,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:dendrite 1:1,2.274,14.266,4.037,12.996,8.700,26.299,32.444,13.124,627.706,9.977
5,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:dendrite 1 background:1,2.274,3.887,0.909,3.007,3.000,6.736,8.840,3.558,171.020,9.977
6,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:dendrite 2:1,2.843,54.347,23.619,31.769,25.935,111.275,154.497,45.193,2989.078,12.482
7,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:dendrite 2 background:1,2.843,4.496,1.427,4.000,3.000,10.014,12.780,4.000,247.258,12.482
8,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:dendrite 3:1,1.189,18.154,14.743,6.625,5.750,55.520,21.581,11.130,417.531,5.010
9,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:dendrite 3 background:1,1.189,4.772,1.450,3.922,3.052,9.910,5.673,4.499,109.762,5.010
10,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:AIS:1,3.825,33.296,15.019,29.663,19.936,121.575,127.353,29.666,2463.911,16.761
11,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:AIS background:1,3.825,11.164,27.418,3.952,3.000,165.539,42.700,3.994,826.121,16.761
12,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:axon:1,16.385,36.541,12.076,29.833,19.017,154.085,598.725,35.136,11583.640,72.065
13,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:axon background:1,16.385,4.865,6.970,3.777,3.000,82.530,79.709,3.772,1542.135,72.065
14,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:growth cone:1,16.902,11.703,7.611,7.000,4.000,49.000,197.807,9.000,3827.000,0.000
15,MAX_i3-12_BCAP31-biotin_1_BOTH.tif:growth cone background:1,16.902,3.749,0.742,4.000,3.000,8.000,63.368,4.000,1226.000,0.000
