 ,Label,Area,Mean,StdDev,Mode,Min,Max,IntDen,Median,RawIntDen,Length
1,MAX_i3-12_ERGIC53_2_BOTH.tif:cell body:1,213.985,39.598,25.803,23.000,4.000,245.000,8473.332,35.000,163935.000,0.000
2,MAX_i3-12_ERGIC53_2_BOTH.tif:nucleus:1,109.370,46.633,22.468,37.000,8.000,243.000,5100.229,43.000,98675.000,0.000
3,MAX_i3-12_ERGIC53_2_BOTH.tif:cytoplasm:1,104.615,32.243,26.991,12.000,4.000,245.000,3373.103,24.000,65260.000,0.000
4,MAX_i3-12_ERGIC53_2_BOTH.tif:dendrite 1:1,1.912,16.461,14.165,6.692,5.443,76.499,31.481,12.024,609.062,8.408
5,MAX_i3-12_ERGIC53_2_BOTH.tif:dendrite 1 background:1,1.912,4.493,0.582,3.757,3.110,5.528,8.593,4.542,166.259,8.408
6,MAX_i3-12_ERGIC53_2_BOTH.tif:dendrite 2:1,0.517,6.813,0.862,5.642,5.638,8.107,3.521,6.834,68.129,2.210
7,MAX_i3-12_ERGIC53_2_BOTH.tif:dendrite 2 background:1,0.517,4.685,0.779,3.491,3.486,5.917,2.421,4.542,46.849,2.210
8,MAX_i3-12_ERGIC53_2_BOTH.tif:dendrite 3:1,0.517,8.969,3.642,8.585,5.260,15.333,4.636,8.576,89.690,2.127
9,MAX_i3-12_ERGIC53_2_BOTH.tif:dendrite 3 background:1,0.517,4.483,0.517,5.225,3.793,5.228,2.317,4.400,44.833,2.127
10,MAX_i3-12_ERGIC53_2_BOTH.tif:AIS:1,5.686,72.952,38.591,26.633,18.848,147.428,414.773,63.336,8024.693,24.857
11,MAX_i3-12_ERGIC53_2_BOTH.tif:AIS background:1,5.686,4.457,0.777,3.997,3.207,7.059,25.339,4.391,490.244,24.857
12,MAX_i3-12_ERGIC53_2_BOTH.tif:axon:1,14.731,49.771,33.602,20.659,12.738,152.585,733.174,37.486,14184.851,64.741
13,MAX_i3-12_ERGIC53_2_BOTH.tif:axon background:1,14.731,4.383,0.904,4.014,3.000,10.747,64.563,4.215,1249.114,64.741
14,MAX_i3-12_ERGIC53_2_BOTH.tif:growth cone:1,23.259,22.029,16.711,7.000,5.000,206.000,512.375,19.000,9913.000,0.000
15,MAX_i3-12_ERGIC53_2_BOTH.tif:growth cone background:1,23.259,4.347,1.057,4.000,3.000,10.000,101.100,4.000,1956.000,0.000
