 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_i3-12_SLC38A1_2_BOTH.tif:cell body:1,121.827,92.763,46.499,74.000,9.000,236.000,0.000,0.000,11300.980,84.000,218642.000,0,0.000
2,MAX_i3-12_SLC38A1_2_BOTH.tif:nucleus:1,59.647,98.100,38.077,74.000,36.000,219.000,0.000,0.000,5851.346,87.000,113207.000,0,0.000
3,MAX_i3-12_SLC38A1_2_BOTH.tif:cytoplasm:1,62.180,87.643,52.854,27.000,9.000,236.000,0.000,0.000,5449.634,79.000,105435.000,0,0.000
4,MAX_i3-12_SLC38A1_2_BOTH.tif:dendrite 1:1,0.000,4.000,0.000,4.000,4.000,4.000,73.888,64.681,0.207,4.000,4.000,1,0.000
5,MAX_i3-12_SLC38A1_2_BOTH.tif:dendrite 1 background:1,0.000,9.000,0.000,9.000,9.000,9.000,76.162,66.954,0.465,9.000,9.000,1,0.000
6,MAX_i3-12_SLC38A1_2_BOTH.tif:dendrite 2:1,0.000,4.000,0.000,4.000,4.000,4.000,73.888,64.681,0.207,4.000,4.000,1,0.000
7,MAX_i3-12_SLC38A1_2_BOTH.tif:dendrite 2 background:1,0.000,9.000,0.000,9.000,9.000,9.000,76.162,66.954,0.465,9.000,9.000,1,0.000
8,MAX_i3-12_SLC38A1_2_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,73.888,64.681,0.207,4.000,4.000,1,0.000
9,MAX_i3-12_SLC38A1_2_BOTH.tif:dendrite 3 background:1,0.000,9.000,0.000,9.000,9.000,9.000,76.162,66.954,0.465,9.000,9.000,1,0.000
10,MAX_i3-12_SLC38A1_2_BOTH.tif:AIS:1,3.928,128.617,18.267,138.580,80.892,161.813,0.000,0.000,505.238,130.885,9774.929,0,17.070
11,MAX_i3-12_SLC38A1_2_BOTH.tif:AIS background:1,3.928,8.672,1.511,8.752,6.140,16.195,0.000,0.000,34.064,8.542,659.045,0,17.070
12,MAX_i3-12_SLC38A1_2_BOTH.tif:axon:1,10.544,117.233,24.303,104.134,65.086,173.154,0.000,0.000,1236.129,117.226,23915.596,0,46.302
13,MAX_i3-12_SLC38A1_2_BOTH.tif:axon background:1,10.544,8.168,1.719,8.455,4.617,20.856,0.000,0.000,86.120,8.034,1666.174,0,46.302
14,MAX_i3-12_SLC38A1_2_BOTH.tif:growth cone:1,137.281,34.813,21.665,9.000,5.000,188.000,0.000,0.000,4779.148,31.000,92463.000,0,0.000
15,MAX_i3-12_SLC38A1_2_BOTH.tif:growth cone background:1,137.281,8.239,2.973,9.000,3.000,35.000,0.000,0.000,1131.121,8.000,21884.000,0,0.000
