 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,MAX_i3-12_SURF4_4_BOTH.tif:cell body:1,151.702,29.825,21.276,7.000,4.000,195.000,0.000,0.000,4524.486,26.000,87536.000,0,0.000
2,MAX_i3-12_SURF4_4_BOTH.tif:nucleus:1,64.816,31.565,14.532,26.000,8.000,142.000,0.000,0.000,2045.880,29.000,39582.000,0,0.000
3,MAX_i3-12_SURF4_4_BOTH.tif:cytoplasm:1,86.886,28.527,25.082,7.000,4.000,195.000,0.000,0.000,2478.605,19.000,47954.000,0,0.000
4,MAX_i3-12_SURF4_4_BOTH.tif:dendrite 1:1,0.000,4.000,0.000,4.000,4.000,4.000,89.575,50.471,0.207,4.000,4.000,1,0.000
5,MAX_i3-12_SURF4_4_BOTH.tif:dendrite 1 background:1,0.000,7.000,0.000,7.000,7.000,7.000,91.849,52.745,0.362,7.000,7.000,1,0.000
6,MAX_i3-12_SURF4_4_BOTH.tif:dendrite 2:1,0.000,4.000,0.000,4.000,4.000,4.000,89.575,50.471,0.207,4.000,4.000,1,0.000
7,MAX_i3-12_SURF4_4_BOTH.tif:dendrite 2 background:1,0.000,7.000,0.000,7.000,7.000,7.000,91.849,52.745,0.362,7.000,7.000,1,0.000
8,MAX_i3-12_SURF4_4_BOTH.tif:dendrite 3:1,0.000,4.000,0.000,4.000,4.000,4.000,89.575,50.471,0.207,4.000,4.000,1,0.000
9,MAX_i3-12_SURF4_4_BOTH.tif:dendrite 3 background:1,0.000,7.000,0.000,7.000,7.000,7.000,91.849,52.745,0.362,7.000,7.000,1,0.000
10,MAX_i3-12_SURF4_4_BOTH.tif:AIS:1,4.342,51.411,12.216,50.219,20.772,81.812,0.000,0.000,223.210,51.890,4318.491,0,18.974
11,MAX_i3-12_SURF4_4_BOTH.tif:AIS background:1,4.342,4.355,0.861,4.001,3.000,6.487,0.000,0.000,18.906,4.214,365.779,0,18.974
12,MAX_i3-12_SURF4_4_BOTH.tif:axon:1,13.594,34.204,17.442,17.264,7.834,84.471,0.000,0.000,464.955,29.946,8995.558,0,59.708
13,MAX_i3-12_SURF4_4_BOTH.tif:axon background:1,13.594,4.136,0.765,4.003,3.000,8.403,0.000,0.000,56.226,4.000,1087.813,0,59.708
14,MAX_i3-12_SURF4_4_BOTH.tif:growth cone:1,141.416,9.309,5.647,5.000,3.000,43.000,0.000,0.000,1316.420,7.000,25469.000,0,0.000
15,MAX_i3-12_SURF4_4_BOTH.tif:growth cone background:1,141.416,3.944,1.028,3.000,3.000,20.000,0.000,0.000,557.704,4.000,10790.000,0,0.000
