 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:cell body:1,117.330,494.637,327.143,352.154,139.000,1818.000,0.000,0.000,58035.718,377.000,1122827.000,0,0.000
2,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:nucleus:1,57.993,477.749,267.009,350.488,152.000,1818.000,0.000,0.000,27706.065,386.000,536034.000,0,0.000
3,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:cytoplasm:1,59.337,511.144,376.142,179.727,139.000,1743.000,0.000,0.000,30329.653,357.500,586793.000,0,0.000
4,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:dendrite 1:1,1.292,167.218,41.260,130.241,129.958,275.000,0.000,0.000,216.076,151.000,4180.459,0,5.641
5,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:dendrite 1 background:1,1.292,125.524,6.656,124.062,123.000,155.000,0.000,0.000,162.199,124.000,3138.091,0,5.641
6,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:dendrite 2:1,0.000,124.000,0.000,124.000,124.000,124.000,17.278,100.715,6.409,124.000,124.000,1,0.000
7,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:dendrite 2 background:1,0.000,124.000,0.000,124.000,124.000,124.000,19.552,102.989,6.409,124.000,124.000,1,0.000
8,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:dendrite 3:1,0.000,124.000,0.000,124.000,124.000,124.000,17.278,100.715,6.409,124.000,124.000,1,0.000
9,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:dendrite 3 background:1,0.000,124.000,0.000,124.000,124.000,124.000,19.552,102.989,6.409,124.000,124.000,1,0.000
10,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:AIS:1,3.928,301.226,40.987,224.298,223.964,395.155,0.000,0.000,1183.281,296.318,22893.141,0,17.206
11,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:AIS background:1,3.928,131.456,28.105,123.420,123.000,338.120,0.000,0.000,516.388,124.497,9990.642,0,17.206
12,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:axon:1,23.673,299.005,243.337,163.363,131.512,1943.493,0.000,0.000,7078.252,231.320,136944.150,0,104.056
13,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:axon background:1,23.673,176.617,179.594,125.517,123.000,1411.527,0.000,0.000,4180.998,124.486,80890.482,0,104.056
14,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:growth cone:1,28.583,160.373,28.719,135.094,123.000,267.000,0.000,0.000,4583.926,151.000,88686.000,0,0.000
15,SUM_d295efe8-771c-4e3b-9b8b-f1fa4b4c3539.tif:growth cone background:1,28.583,124.212,6.345,123.215,123.000,233.000,0.000,0.000,3550.338,123.000,68689.000,0,0.000
