 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:cell body:1,98.981,261.448,98.006,143.766,135.000,543.000,0.000,0.000,25878.304,258.000,500672.000,0,0.000
2,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:nucleus:1,37.990,353.044,56.210,347.365,208.000,543.000,0.000,0.000,13412.141,347.000,259487.000,0,0.000
3,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:cytoplasm:1,60.991,204.394,71.680,143.744,135.000,542.000,0.000,0.000,12466.163,175.000,241185.000,0,0.000
4,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:dendrite 1:1,0.000,135.000,0.000,135.000,135.000,135.000,78.890,89.120,6.978,135.000,135.000,1,0.000
5,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:dendrite 1 background:1,0.000,135.000,0.000,135.000,135.000,135.000,81.163,91.394,6.978,135.000,135.000,1,0.000
6,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:dendrite 2:1,0.000,135.000,0.000,135.000,135.000,135.000,78.890,89.120,6.978,135.000,135.000,1,0.000
7,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:dendrite 2 background:1,0.000,135.000,0.000,135.000,135.000,135.000,81.163,91.394,6.978,135.000,135.000,1,0.000
8,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:dendrite 3:1,0.000,135.000,0.000,135.000,135.000,135.000,78.890,89.120,6.978,135.000,135.000,1,0.000
9,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:dendrite 3 background:1,0.000,135.000,0.000,135.000,135.000,135.000,81.163,91.394,6.978,135.000,135.000,1,0.000
10,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:AIS:1,3.618,188.232,19.489,174.902,156.510,241.345,0.000,0.000,681.043,182.802,13176.246,0,15.771
11,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:AIS background:1,3.618,140.813,11.028,136.947,135.000,193.653,0.000,0.000,509.477,137.027,9856.944,0,15.771
12,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:axon:1,16.178,186.157,22.221,164.479,151.035,303.997,0.000,0.000,3011.657,181.095,58267.044,0,71.064
13,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:axon background:1,16.178,139.527,10.011,136.083,135.000,214.250,0.000,0.000,2257.280,136.492,43671.993,0,71.064
14,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:growth cone:1,71.793,188.978,62.986,144.496,135.000,509.000,0.000,0.000,13567.358,163.000,262490.000,0,0.000
15,SUM_421451cd-5a51-40c2-8d26-d86a6cabc998.tif:growth cone background:1,71.793,136.261,1.596,135.029,135.000,150.000,0.000,0.000,9782.670,136.000,189267.000,0,0.000
