 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:cell body:1,95.104,346.059,164.478,140.836,109.000,761.000,0.000,0.000,32911.736,318.000,636749.000,0,0.000
2,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:nucleus:1,46.002,464.442,123.108,327.029,177.000,746.000,0.000,0.000,21365.035,468.000,413353.000,0,0.000
3,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:cytoplasm:1,49.103,235.154,113.006,140.836,109.000,761.000,0.000,0.000,11546.701,199.000,223396.000,0,0.000
4,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:dendrite 1:1,0.000,111.000,0.000,111.000,111.000,111.000,69.341,41.605,5.737,111.000,111.000,1,0.000
5,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:dendrite 1 background:1,0.000,116.000,0.000,116.000,116.000,116.000,71.615,43.878,5.996,116.000,116.000,1,0.000
6,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:dendrite 2:1,0.000,111.000,0.000,111.000,111.000,111.000,69.341,41.605,5.737,111.000,111.000,1,0.000
7,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:dendrite 2 background:1,0.000,116.000,0.000,116.000,116.000,116.000,71.615,43.878,5.996,116.000,116.000,1,0.000
8,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:dendrite 3:1,0.000,111.000,0.000,111.000,111.000,111.000,69.341,41.605,5.737,111.000,111.000,1,0.000
9,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:dendrite 3 background:1,0.000,116.000,0.000,116.000,116.000,116.000,71.615,43.878,5.996,116.000,116.000,1,0.000
10,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:AIS:1,6.202,236.809,25.579,223.497,174.152,307.827,0.000,0.000,1468.800,234.250,28417.126,0,27.155
11,SUM_84d9ee2d-6f81-42b0-9c14-a4a34da61eb1.tif:AIS background:1,6.202,111.818,4.012,109.500,103.398,126.539,0.000,0.000,693.544,111.279,13418.107,0,27.155
