 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,IntDen,Median,RawIntDen,Ch,Length
1,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:cell body:1,76.755,269.859,67.152,298.533,115.000,592.000,0.000,0.000,20713.105,269.000,400740.000,0,0.000
2,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:nucleus:1,47.242,274.503,51.378,266.449,126.000,432.000,0.000,0.000,12968.097,273.000,250896.000,0,0.000
3,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:cytoplasm:1,29.668,261.784,86.382,147.607,115.000,592.000,0.000,0.000,7766.717,258.000,150264.000,0,0.000
4,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:dendrite 1:1,3.308,125.781,17.015,110.524,109.062,192.222,0.000,0.000,416.081,121.268,8049.982,0,14.501
5,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:dendrite 1 background:1,3.308,117.110,39.793,100.089,99.000,284.834,0.000,0.000,387.398,101.940,7495.057,0,14.501
6,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:dendrite 2:1,0.000,99.000,0.000,99.000,99.000,99.000,73.661,54.109,5.117,99.000,99.000,1,0.000
7,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:dendrite 2 background:1,0.000,102.000,0.000,102.000,102.000,102.000,75.934,56.382,5.272,102.000,102.000,1,0.000
8,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:dendrite 3:1,0.000,99.000,0.000,99.000,99.000,99.000,73.661,54.109,5.117,99.000,99.000,1,0.000
9,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:dendrite 3 background:1,0.000,102.000,0.000,102.000,102.000,102.000,75.934,56.382,5.272,102.000,102.000,1,0.000
10,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:AIS:1,4.755,308.226,35.618,295.167,220.000,407.734,0.000,0.000,1465.683,305.297,28356.821,0,20.777
11,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:AIS background:1,4.755,101.135,1.737,100.016,99.000,107.816,0.000,0.000,480.919,100.892,9304.419,0,20.777
12,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:axon:1,13.800,248.723,55.694,238.230,142.678,410.016,0.000,0.000,3432.487,246.655,66408.910,0,60.537
13,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:axon background:1,13.800,101.186,2.186,99.034,99.000,116.206,0.000,0.000,1396.417,100.620,27016.727,0,60.537
14,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:growth cone:1,46.777,149.490,38.219,110.838,100.000,279.000,0.000,0.000,6992.650,139.000,135288.000,0,0.000
15,SUM_5c442176-f4fb-4f6c-85c3-8871c19cf6c2.tif:growth cone background:1,46.777,100.317,1.627,99.027,99.000,113.000,0.000,0.000,4692.521,100.000,90787.000,0,0.000
